stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,hatching.gland,heart,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,5.26,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,23.66,0,0,0,10.51,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,3,0,0,1,1,0,0,0,0,2,0,0,1,8,0,0,0,0,0,2,2,2,5,0
 24-34,0,0,0,0,0,0,0.82,0,0.82,0,0,0,0,0,0,1.64,0,0,0,7.39,0,0.82,0.82,0,2.46,0,0,0,4.93,0
 36-46,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,2.42,0,0,0,8.06,0,0,0,0,0.81,0,0,0,0.81,0
 48-58,0,0,0,0.57,0,0,3.44,0.57,0.57,0.57,0.57,0,0,0.57,0,1.72,0,0,0,9.18,0,0,0,0,2.3,0,0.57,0,1.15,0.57
 60-70,0,0,0,0,0,0,2.94,0,0,0,0.98,0.98,0,0,0,3.93,0,0.98,0.98,3.93,0.98,0,0.98,0,2.94,0,0,0,0,0
 72-82,0,0,0,0,0,0,5.89,0,0.98,2.94,0,0.98,0,0,0,7.85,0.98,0.98,0,4.91,0.98,0,0.98,0,4.91,0,0,0,0.98,0.98
 84-94,0,0,0,1.06,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,3.19,0,0,1.06,0,8.5,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,7.65,0,0,1.09,0,0,0,0,0,2.19,0,1.09,0,4.37,0,0,2.19,0,9.84,0,0,0,0,0
108-118,0,0,0,0.77,0.77,1.53,0,0,0,0,0,0,0.77,0,0.77,2.3,0,0,0,2.3,0,0,0.77,0,3.83,0,1.53,0,0,0.77
120,0,0,0,1.96,0,0,3.92,0,0,1.96,0,0,0,0,0,0,0,0,0,7.84,0,0,0,0,3.92,0,0,0,0,0
