stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,3.15,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,4,1,0,2,0,0,0,0,2,0,0,0,0,0,5,0,0,1,19,0,0,0,0,1,0,1,0,0,4,10,0,0,0,0,0
 24-34,0,0,0.82,0,1.64,0.82,0,9.03,0.82,0,0,0,0,0,0.82,1.64,0,0,4.93,0,0,2.46,62.39,0,0.82,0,0,5.75,0,0,1.64,0.82,2.46,12.31,0,0,4.1,0,0.82
 36-46,0,0,0,0,0.81,0.81,0,13.7,3.22,0.81,0,5.64,0,0.81,0.81,1.61,0,0,4.03,0,0,4.03,58.81,0,0.81,0,0,6.45,0,0,0,1.61,0,16.11,0,0,1.61,0,0
 48-58,0,0,0,0,3.44,0.57,0,21.23,3.44,0,1.15,5.74,0,0,0,0.57,0,0,9.75,0,0,1.15,52.79,0,1.15,0,0,1.15,0,0,0,0.57,0,15.49,0,0,0,0,1.72
 60-70,0,0,0,0,0.98,1.96,0,35.33,3.93,0,0.98,4.91,0.98,1.96,0.98,0,0.98,0,10.8,0,0.98,2.94,66.74,0.98,0.98,0.98,0,3.93,0,0,0,0.98,0,4.91,0,0,0,0,0
 72-82,0,0,0,0,1.96,1.96,0,40.25,0,1.96,0,9.82,1.96,0,0.98,0,0,0.98,15.71,0,0.98,0.98,58.9,0,0.98,0,0,3.93,0,0,0,0,0,2.94,0,0.98,0.98,0.98,0.98
 84-94,0,0,0,0,2.12,2.12,0,24.43,0,0,0,1.06,2.12,1.06,2.12,1.06,0,2.12,13.81,0,0,1.06,26.55,0,0,5.31,0,13.81,0,0,2.12,0,0,2.12,0,0,5.31,0,0
 96-106,0,0,1.09,0,1.09,5.46,0,24.04,0,0,1.09,3.28,0,0,1.09,3.28,0,0,8.74,0,1.09,2.19,19.67,0,0,2.19,0,7.65,0,0,2.19,0,0,0,0,0,4.37,0,0
108-118,0,0,0.77,0,4.6,0.77,2.3,22.98,0.77,0.77,0,6.89,3.83,0,0,0.77,0.77,2.3,5.36,0.77,0.77,3.06,25.28,0,0,3.06,0,9.96,0,0,0.77,0.77,0,0.77,0.77,0,2.3,0,0
120,0,0,0,0,11.76,1.96,0,13.72,0,1.96,0,7.84,7.84,0,1.96,1.96,0,3.92,15.68,0,0,0,43.12,0,0,1.96,0,7.84,0,0,0,0,0,0,1.96,0,3.92,1.96,0
