stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,2,24,0,0,1,0,1,0,1,6,13,0,0,0,0,0
 24-34,0,0,0,2.46,0,0,8.21,0,0,0.82,0,0,0,0,0,4.93,0,2.46,54.18,0,0.82,0,0,2.46,0,0.82,0.82,17.24,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,12.09,0.81,1.61,0.81,0,0,0,0,0,8.06,0,1.61,39.48,0,0,0.81,0,0.81,0,0,0,15.31,0,0,0,0,0.81
 48-58,0,0,0,0.57,0,0,20.08,0,0.57,2.87,0,0,0,0.57,0,5.74,0.57,0,32.13,0.57,0,0.57,0,0.57,0,0,0,12.05,0,0,0.57,0,0
 60-70,0,0,0,1.96,0,0,15.7,0,0,4.91,0,0,0,0,0,8.83,0,1.96,26.5,0,0,0.98,0,1.96,0,0,0,2.94,0,0,0,0,0
 72-82,0,0,0,2.94,0.98,0.98,12.76,0,0,4.91,0.98,0.98,0.98,0.98,0.98,12.76,0,1.96,31.41,0,0,0.98,0,0.98,0,0,0,1.96,0,0.98,0,0,0.98
 84-94,0,0,0,1.06,0,0,11.68,1.06,1.06,1.06,2.12,0,0,0,0,4.25,0,1.06,15.93,0,0,1.06,0,1.06,0,0,0,2.12,0,0,1.06,2.12,0
 96-106,0,0,0,0,2.19,0,6.56,0,0,1.09,0,0,0,0,0,5.46,1.09,1.09,14.21,0,0,0,0,4.37,0,1.09,0,2.19,0,0,2.19,1.09,0
108-118,0,0,0,1.53,0,0.77,7.66,0.77,0,1.53,0,0,0,1.53,0,3.83,0.77,0,11.49,0,0.77,0,0,0.77,0,0,0,0,0.77,0,0,0,0
120,0,0,0,0,0,0,9.8,0,0,0,0,0,1.96,0,0,11.76,0,0,5.88,0,1.96,0,0,1.96,0,0,0,0,0,0,0,1.96,0
