stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,3.15,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.88,6.29,0,0,31.47,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,8,2,0,5,0,0,0,6,1,0,0,1,0,0,0,0,3,0,0,5,52,1,0,1,2,0,0,4,3,1,7,42,0,0,0,0,0
 24-34,0,0,0,1.64,1.64,0.82,0,17.24,0,3.28,0.82,4.93,0,0,0,0,0,0,0,0,8.21,0,0.82,8.21,153.5,0.82,13.95,4.1,0,0,2.46,0,0.82,0,3.28,49.25,0,0,4.1,0,0
 36-46,0,0,0,0,1.61,0.81,0,47.53,0,0.81,2.42,12.09,0,0.81,0.81,0.81,0,0.81,0,2.42,11.28,0.81,0.81,4.03,264.26,0,10.47,0.81,0,0,3.22,0,0.81,0,0.81,71.7,0,0,0.81,0,1.61
 48-58,0,0,0.57,0,1.72,0.57,0,112.47,1.72,0,0.57,30.41,0,0,0,1.15,0.57,1.15,1.15,3.44,30.99,0.57,0.57,5.74,273.13,0,6.89,7.46,0,0,1.72,0,0,0,0,61.4,0,1.15,1.72,0,0.57
 60-70,0,0,0,0,6.87,0,0,229.68,0.98,1.96,4.91,42.21,0.98,0,1.96,1.96,0,1.96,0.98,0,40.24,0,0.98,1.96,393.59,0.98,8.83,6.87,0,0,3.93,0,1.96,0,0,61.84,0,0.98,3.93,0,0.98
 72-82,0,0,3.93,0,6.87,0.98,0,234.62,0,0,2.94,49.08,1.96,2.94,0,0.98,0,5.89,0.98,1.96,49.08,0,1.96,3.93,267.99,0,9.82,16.69,0,0.98,3.93,0,0.98,0,0,25.52,0.98,1.96,10.8,0,1.96
 84-94,0,0,1.06,0,12.74,1.06,0,172.05,0,2.12,1.06,26.55,2.12,2.12,3.19,0,1.06,7.43,2.12,1.06,41.42,0,1.06,4.25,143.38,0,10.62,18.05,0,0,8.5,0,0,0,0,16.99,0,0,4.25,1.06,0
 96-106,0,0,2.19,0,8.74,3.28,2.19,110.38,2.19,2.19,3.28,29.51,0,1.09,2.19,1.09,3.28,12.02,1.09,0,28.41,0,0,4.37,110.38,0,12.02,17.49,0,0,12.02,0,1.09,0,0,7.65,0,0,4.37,1.09,1.09
108-118,0,0,0,0,9.19,3.83,6.13,81.96,1.53,2.3,0,32.94,1.53,0,0.77,0.77,0.77,5.36,1.53,3.06,16.85,1.53,1.53,1.53,130.98,0,3.83,14.55,0,0.77,3.06,0,1.53,0.77,0,7.66,1.53,0.77,4.6,0,0.77
120,0,0,0,0,13.72,1.96,0,66.63,1.96,0,3.92,35.28,3.92,0,1.96,0,3.92,7.84,3.92,1.96,19.6,1.96,0,1.96,148.94,1.96,13.72,11.76,0,0,7.84,0,1.96,0,0,0,0,0,5.88,0,0
