stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,7.89,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,52.57,5.26,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.59,0,3.15,0,22.03,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,188.82,15.73,0,0,44.06,0,0,3.15,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,41,21,0,20,0,0,12,1,1,1,0,0,0,0,0,0,33,0,0,21,202,8,1,10,11,0,0,0,13,24,1,22,102,0,0,5,0,0
 24-34,0,0.82,2.46,11.49,4.1,0,44.33,3.28,0,9.03,0.82,0,4.1,0.82,0,0,0,0,0.82,40.22,0.82,0,22.16,334.91,4.1,2.46,4.93,0,0,0,0,0,16.42,0.82,4.93,112.46,0,0,43.51,0,0
 36-46,0,0,0,1.61,0,0,118.43,0,1.61,12.09,0,0,0,2.42,0,0.81,0,0,0.81,62.04,0,0.81,16.11,328.71,0.81,8.06,2.42,0,0,0,0,0,9.67,0,0,94.26,0,0,35.45,0,0.81
 48-58,0,0,0,4.59,1.15,0,145.75,1.72,3.44,20.08,0,0,2.87,5.16,0,0,0.57,0,0,61.4,0,3.44,8.61,205.42,0,2.87,4.59,0,0,0,0,0,1.72,0.57,0,78.61,0,0,21.8,0.57,1.72
 60-70,0,0,0,4.91,0.98,0,187.47,0.98,0.98,26.5,0,0,0.98,10.8,0,0,0,0,1.96,61.84,0,0.98,7.85,185.51,0,0.98,3.93,0,0,0.98,0,0,3.93,0,0,41.22,0,2.94,19.63,0,0.98
 72-82,0,0,0,5.89,4.91,0,101.11,2.94,5.89,26.5,0,0,2.94,9.82,0.98,0,0,0,0.98,85.4,0,1.96,11.78,170.81,1.96,0,4.91,0,0.98,0.98,0,0,4.91,0,0,23.56,0,1.96,36.32,1.96,0.98
 84-94,0,0,0,7.43,2.12,0,71.16,2.12,2.12,29.74,1.06,0,3.19,9.56,1.06,0,2.12,0,0,46.73,0,1.06,6.37,94.52,1.06,1.06,8.5,0,0,1.06,0,0,25.49,0,0,20.18,0,3.19,38.23,2.12,0
 96-106,0,2.19,0,4.37,2.19,1.09,69.94,1.09,4.37,28.41,2.19,0,6.56,16.39,0,0,2.19,1.09,0,56.83,0,0,9.84,78.68,0,2.19,13.11,0,0,2.19,0,0,27.32,0,0,8.74,2.19,0,31.69,4.37,1.09
108-118,0,0,0.77,0.77,4.6,0.77,50.55,0,3.06,29.11,0,0,1.53,6.13,0,2.3,1.53,1.53,1.53,41.36,0,0,3.06,93.45,0.77,1.53,5.36,0,0.77,0.77,0,0,22.21,0,0,6.13,3.83,0,27.57,0,0.77
120,0,0,0,5.88,3.92,0,48.99,0,0,29.4,1.96,0,0,17.64,0,0,1.96,1.96,0,29.4,0,0,0,82.31,0,1.96,5.88,0,0,1.96,0,0,17.64,0,0,3.92,3.92,1.96,31.36,1.96,1.96
