stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,7.89,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0.82,0,16.42,0.82,0,0,0.82,5.75,0,0,0
 36-46,0,0,0,0,4.03,0,0,0,0.81,1.61,0,8.86,0,0,0,0.81,1.61,0,0,0
 48-58,0,0,0,0.57,5.74,0.57,1.72,0,0,2.3,0,7.46,0,0,0,0,1.72,0,0,0.57
 60-70,0,0,0,0,0.98,0.98,0.98,0,0,0.98,0,8.83,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,2.94,0,0,0,0,0,0,1.96,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,2.12,0,0,1.06,0,0,0,0,0,1.06,0,0,1.06,0
 96-106,0,0,0,0,0,0,0,0,0,1.09,0,1.09,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,0,0,0.77,0,0,0,0,0.77,0,0,0,0,0,0.77,0,0
120,0,0,7.84,0,0,0,1.96,1.96,0,1.96,0,13.72,0,0,0,0,0,0,0,0
