stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,visceral_smooth_muscle,xanthophores
  3-4,0,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,202.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,49.95,0,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,43,0,0,0,0,0,2,0,2,13,0,0,0
 24-34,0,0,0,0,0.82,0,10.67,0,0.82,0,1.64,0,0,0,0,0,0,0,0,103.43,0,0,0,4.1,0,0.82,0,0.82,14.78,0,0,0.82
 36-46,0,0,0,0,0,0,15.31,0,0,1.61,4.83,0,0,0.81,0,3.22,0,0,0,158.72,0.81,0.81,0,0.81,0.81,0,0,0,37.87,0,0,0
 48-58,0,0,0,0,0.57,0,9.75,2.3,0,0,13.77,0,0,1.72,0,0.57,0,0,0,45.33,0.57,0.57,0,0,0,0,0,0,9.18,0,0,0.57
 60-70,0,0,0,0,0.98,0,15.7,0.98,0.98,0,26.5,0.98,0,0.98,0,1.96,0,0,0.98,33.37,0,0,0,1.96,0,0,0,0,2.94,0,0,0
 72-82,0,0,0,0,0,0.98,41.23,0,0,0,33.38,8.83,0,4.91,0,2.94,0,0,0.98,31.41,0,0,0,0,0,0.98,0,0,6.87,0,0.98,0
 84-94,0,0,0,0,1.06,4.25,29.74,0,0,0,14.87,18.05,3.19,6.37,0,3.19,0,0,0,18.05,0,0,0,1.06,0,5.31,1.06,0,3.19,0,0,0
 96-106,0,0,0,0,4.37,2.19,36.06,0,0,2.19,19.67,18.58,1.09,8.74,1.09,3.28,0,0,0,34.97,0,1.09,0,10.93,0,1.09,1.09,0,2.19,0,0,1.09
108-118,0,0,0,0,3.83,15.32,42.13,0.77,0,0,21.45,19.92,0.77,19.15,0,6.13,0.77,0,2.3,36.77,0.77,3.83,0,5.36,0,3.06,2.3,0,2.3,0.77,0,0
120,0,0,1.96,0,7.84,3.92,23.52,1.96,0,1.96,11.76,13.72,0,9.8,0,5.88,0,1.96,3.92,48.99,1.96,3.92,0,1.96,0,1.96,0,0,3.92,0,0,0
