stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,notochord,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
 24-34,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0,0,1.64,0,7.39,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,1.61,0,5.64,0.81,0,0,0,0
 48-58,0,0,0,1.15,0,0.57,0,0,0,0,0.57,0,0,0,1.72,0,8.61,0.57,0,0,0,0
 60-70,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,2.94,0,38.28,0,0,0,0,0
 72-82,0,0.98,0,2.94,3.93,2.94,0,0,0,0,1.96,0.98,0,0,14.72,0,164.92,0,0,0,0.98,0.98
 84-94,0,3.19,0,4.25,8.5,1.06,0,0,0,3.19,3.19,0,0,0,3.19,0,417.38,2.12,0,1.06,0,0
 96-106,0,4.37,2.19,8.74,8.74,2.19,1.09,0,0,8.74,4.37,12.02,0,1.09,18.58,0,920.18,0,0,1.09,1.09,0
108-118,0,5.36,0,2.3,7.66,2.3,0,0,0.77,8.43,1.53,3.06,0.77,0,7.66,0.77,544.6,1.53,0.77,0.77,0,0.77
120,0,1.96,3.92,1.96,15.68,0,0,0,0,7.84,3.92,1.96,0,1.96,3.92,0,444.87,0,0,0,0,0
