stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,2.63,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,6.29,0,6.29,0,0,0,0,0,0
 14-21,0,6,3,0,0,0,0,0,0,0,0,5,2,31,0,0,1,4,5,9,2,1
 24-34,0,0,3.28,0,0,0,0.82,0,0,0.82,0.82,2.46,1.64,11.49,0,0,2.46,0,0,0.82,0.82,0
 36-46,0,0.81,6.45,0,0,0.81,0,0,0,0,0,1.61,0.81,8.86,0,0,0.81,0,0,0.81,0,0.81
 48-58,0,0,4.59,0,0,0,0,0,0,0.57,0,2.87,0,6.89,0,0,0,0,0,2.3,0,0
 60-70,0,0,11.78,0,0,0,0,0,0,0,0,1.96,0,7.85,0,0,1.96,0,0,0.98,0,0
 72-82,0,0,8.83,0,0,0,0.98,0,0,0,0,2.94,0,2.94,0.98,0,0,0,0,0,0.98,0
 84-94,0,1.06,4.25,1.06,1.06,0,0,1.06,1.06,0,0,0,0,0,0,0,1.06,0,0,0,1.06,0
 96-106,0,1.09,4.37,0,0,1.09,0,0,0,0,0,2.19,0,4.37,0,0,0,0,0,0,0,0
108-118,0,0.77,2.3,0,0,0.77,0,0,0,0,0,0.77,0.77,3.06,0,0,0.77,0,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
