stage,blastomeres,endocrine.pancreas,erythrocytes,eye,fast.muscle,glial,hatching.gland,lateral.line,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,5.26,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,0,6.29,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,1,0
 24-34,0,0,0.82,0,0,0,0,0,0,0.82,6.57,0,0,0,0,0,0
 36-46,0,0,0.81,0.81,0.81,0,0,0,0.81,0,4.83,0,0,0,0,0,1.61
 48-58,0,0,0.57,1.15,0,0,0,0,0,0,2.87,0.57,0,0,0,0,0.57
 60-70,0,0,0,4.91,0,0,0,0,1.96,0,1.96,0,0,0.98,0,0,1.96
 72-82,0,0.98,0,0.98,0,0,0,0,0,0,3.93,0,0,0,0,0,0
 84-94,0,0,0,4.25,0,1.06,0,0,0,0,2.12,0,0,1.06,0,0,0
 96-106,0,0,0,1.09,0,0,0,1.09,0,0,2.19,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0
