stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,882.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,281.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.49,5.26,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,62,174,0,3,0,1,0,1,0,1,3,0,0,1,1,0,0,0,13,0,0,0,0,0,0,0,3,24,1,16,0,0,12,0,0
 24-34,0,0,0,80.44,77.16,0,1.64,0,17.24,0,0.82,0.82,3.28,20.52,0,0,0.82,2.46,0.82,0,0.82,27.09,0,0,0,0,0,0,0,0,46.79,0,9.85,0,0,125.59,0,0
 36-46,0,0,0,31.42,7.25,0,2.42,0,12.89,0,4.83,0.81,4.83,7.25,0,0.81,1.61,1.61,0,0,0.81,30.62,0,0,0,0,0,0,0,0,29,0,12.89,0,0,105.54,0,0
 48-58,0,0,0,17.79,18.94,0,0,0,17.21,0,1.15,0.57,6.89,7.46,0,0,2.3,0.57,0,0,0,14.35,0.57,0,0,0,0,1.15,0,0,22.95,0,4.59,0,0,84.35,0,0
 60-70,0,0,0,15.7,34.35,0,3.93,0,23.56,0,0.98,1.96,11.78,8.83,0,0,3.93,5.89,0,0,0,8.83,0.98,0,0,0,0,0,0,0,21.59,0,2.94,0,0,66.74,0,0
 72-82,0,0,0,25.52,114.85,0,4.91,2.94,13.74,0.98,3.93,1.96,5.89,24.54,0.98,0,7.85,8.83,0,0.98,0,10.8,1.96,0,0.98,0,2.94,3.93,0,0,35.34,0,0,0,0,140.38,0,0.98
 84-94,0,0,0,35.05,88.15,0,2.12,0,33.99,1.06,0,4.25,4.25,47.79,3.19,0,16.99,10.62,0,2.12,0,6.37,1.06,0,0,0,1.06,2.12,0,0,54.16,0,0,0,0,145.5,0,0
 96-106,0,0,1.09,44.81,110.38,1.09,6.56,1.09,27.32,0,0,2.19,18.58,51.36,1.09,0,16.39,21.86,3.28,4.37,0,17.49,4.37,1.09,1.09,0,8.74,1.09,1.09,0,54.64,0,0,1.09,0,166.11,1.09,0
108-118,0,0,0.77,36.77,60.51,3.83,3.06,0,36.77,0,0,1.53,2.3,43.66,0.77,0,30.64,21.45,0.77,0,0,17.62,6.13,0,0.77,0,3.06,1.53,0,0,49.79,0,0,1.53,0.77,139.41,1.53,0
120,0,0,0,45.08,80.35,1.96,1.96,0,33.32,0,0,3.92,1.96,64.67,5.88,0,21.56,9.8,0,5.88,0,9.8,1.96,0,0,0,3.92,0,0,0,41.16,0,0,0,0,111.71,0,0
