stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,1436.39,24273.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988.35,0,0,0,0,0,0,0
  5-6,1538.54,15906.4,18.39,0,0,0,0,0,30.65,0,0,0,422.94,55.17,0,0,128.72,355.52,0,0,0,0,0,0,0
  7-9,173.5,131.44,165.61,0,0,262.87,0,0,120.92,0,0,0,3887.87,155.09,0,0,1608.77,18.4,57.83,0,2.63,0,0,0,0
 10-12,0,22.03,25.18,0,3.15,91.26,0,0,9.44,0,0,0,387.08,22.03,0,0,226.58,0,22.03,3.15,22.03,0,0,0,0
 14-21,0,0,2,12,2,3,5,1,0,2,7,17,62,21,1,1,1,3,6,43,2,6,40,47,3
 24-34,0,0,0,0,0,0,0,0,0,2.46,1.64,2.46,0.82,0.82,0,0,0,4.93,0.82,0,0,0.82,0.82,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0.81,0,0,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,0,0,1.96,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,1.06,0,1.06,0,0,0,0,3.19,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,1.09,1.09,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
