stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.03,9.44,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,703,4,1,0,12,0,1,2,0,0,1,0,3,0,11,1,0,1,15,6,0,0,13,0,0,15,0,12,26,0,0,0,0,0
 24-34,0,0,0,0.82,345.58,0,4.1,0,57.46,9.03,27.91,0,0,0,0.82,0,18.06,0,22.16,4.93,0,9.03,38.58,0,4.1,4.93,0,0.82,0,0,0.82,38.58,36.94,0,0,0,0,0
 36-46,0,0,0,0,91.85,1.61,2.42,0.81,46.73,12.09,29.81,0,0,0,0,0,9.67,0,37.87,0,0,8.86,15.31,0,0,5.64,0,1.61,0,0,0,0.81,13.7,0,0,0,0,0
 48-58,0,0,0,0,75.74,0,8.61,0,41.31,18.94,31.56,0.57,0.57,0,0,0,4.59,1.15,55.09,0,0,4.02,21.8,0,1.15,5.16,0,0,0,0,0,0,8.61,0,0,0,0,0.57
 60-70,0,0,0,0,100.12,0,14.72,0,45.15,25.52,19.63,0,0,0,0,0.98,10.8,0,58.89,0.98,0,0.98,27.48,0,1.96,0.98,0,0,0,0,0,0,0.98,0,1.96,1.96,0,0
 72-82,0,0,0,0,117.8,0,48.1,0,57.92,46.14,25.52,0.98,0,0,1.96,0,4.91,0,80.5,3.93,0,7.85,19.63,0,3.93,6.87,0,0,0,0,0,0,1.96,1.96,3.93,2.94,0,0.98
 84-94,0,0,1.06,0,219.84,1.06,29.74,0,83.9,41.42,22.3,1.06,0,0,2.12,0,9.56,0,67.97,0,1.06,4.25,8.5,0,4.25,5.31,0,1.06,0,0,0,0,2.12,0,1.06,1.06,2.12,0
 96-106,0,0,0,0,227.31,1.09,27.32,0,67.76,34.97,14.21,6.56,0,0,6.56,1.09,8.74,0,62.29,2.19,1.09,1.09,16.39,1.09,10.93,9.84,0,5.46,1.09,0,1.09,0,1.09,5.46,3.28,10.93,0,0
108-118,0,0,0,0,225.19,0.77,30.64,0,109.53,40.6,9.96,3.83,0,0.77,2.3,0.77,9.96,0,52.09,0,0.77,2.3,16.09,0.77,9.19,4.6,0,0,0,0,0.77,0,2.3,6.13,1.53,3.06,0.77,0.77
120,0,0,0,0,215.58,0,58.79,0,99.95,39.2,3.92,3.92,0,0,1.96,0,1.96,0,39.2,0,0,3.92,19.6,0,5.88,5.88,0,0,0,0,0,0,0,3.92,0,7.84,0,0
