stage,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,iridophores,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord
 14-21,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1
 24-34,0.82,0,0,0,0,0.82,0,0.82,0,0,0,6.57,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,1.61,0,0,9.67,0,0.81,0,0,3.22
 48-58,0.57,0,1.72,0.57,0,0.57,0,0,1.15,0,0,10.9,0,0,0.57,0,3.44
 60-70,0,0,0.98,0,0,1.96,0,0,2.94,0,0,9.82,0.98,0,0,0,0.98
 72-82,0,0,3.93,0,1.96,1.96,0,0,0.98,0,0,10.8,0.98,0,0,0,0
 84-94,2.12,0,2.12,0,0,2.12,1.06,0,1.06,1.06,0,2.12,0,0,0,0,1.06
 96-106,0,0,2.19,0,0,1.09,0,0,1.09,0,0,2.19,1.09,0,0,1.09,0
108-118,0,0.77,2.3,0,0,0,0,0,0.77,0,0,3.83,0.77,0,0,0,0
120,0,0,1.96,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0
