stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,vasculature
  3-4,13.18,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,2,5,0
 24-34,0,0,0,0.82,0,0,4.93,0,0,0,0,0,0,0,0.82,0.82,0,0,1.64,9.85,0
 36-46,0,0,0,0,0,0,7.25,0,0,0,0,1.61,0,0,3.22,2.42,0,0.81,2.42,4.83,0
 48-58,0,0,0.57,0,1.15,0.57,5.16,0,0,0,0.57,0.57,0,0,2.3,1.15,0,0,0.57,6.89,0
 60-70,0,0,0,0,0.98,0,5.89,1.96,0,0,0,0,0,0,0,2.94,0,0,0.98,4.91,0
 72-82,0,0,0,0,0.98,0,6.87,0,0,0,0,1.96,0,0,1.96,2.94,0,0,0.98,2.94,0
 84-94,0,0,1.06,2.12,0,0,5.31,6.37,0,0,0,1.06,1.06,0,1.06,3.19,0,2.12,0,4.25,0
 96-106,0,0,0,0,2.19,0,3.28,4.37,1.09,0,0,0,0,0,4.37,5.46,1.09,2.19,1.09,1.09,0
108-118,0,0,0,0,0.77,0,1.53,3.83,0,0.77,0,0,0,0,0,3.83,0,0,1.53,3.83,0
120,0,0,0,0,0,1.96,1.96,5.88,0,0,1.96,0,0,1.96,0,1.96,0,0,0,1.96,1.96
