stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,0,0,4.1,0,0,0,0,1.64,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,1.61,0,0,12.09,0,0,0,0,0.81,0,0,3.22,0,0
 48-58,0,0,0,0,0,8.03,0,0,0.57,0.57,0,0,0,0,0,0,2.87,0,0,27.54,0,0,0,0.57,1.15,0,0,2.87,0,0
 60-70,0,0,0,0.98,0,59.87,0.98,0,0.98,0,0,0,0,0,0,0,3.93,0,0,96.19,0,0,0,0,0,0,0,6.87,0,0
 72-82,0,0,0,0.98,0,125.65,0,0.98,3.93,0.98,0,0,0,0,0,0.98,4.91,0,0,164.92,0,0.98,0,0.98,2.94,0,0,12.76,1.96,0
 84-94,0,0,0,0,2.12,84.96,0,0,7.43,0,0,1.06,1.06,0,0,2.12,5.31,1.06,1.06,84.96,0,1.06,0,0,1.06,0,0,5.31,0,0
 96-106,0,0,0,3.28,0,90.71,1.09,0,3.28,0,0,0,0,1.09,2.19,3.28,6.56,0,1.09,93.98,0,0,0,0,5.46,0,0,5.46,0,1.09
108-118,0,0,0,2.3,0,56.68,0,0,4.6,0,0,0.77,0,0,0,2.3,6.13,0,0,85.02,0.77,0,0,0,2.3,0.77,0,4.6,0,0
120,0,0,1.96,3.92,0,41.16,0,0,3.92,0,1.96,0,0,0,0,0,9.8,0,0,109.75,1.96,0,0,0,3.92,0,0,7.84,0,0
