stage,blastomeres,endoderm,epidermis,eye,glial,immune,mesenchyme,muscle,neural,notochord,pgc,spinal.cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,7.89,2.63,2.63,0
 10-12,0,3.15,0,0,0,0,0,0,9.44,0,0,0
 14-21,0,0,1,0,0,0,0,0,4,0,0,3
 36-46,0,0,0,2.42,0,0,0,0,4.03,0,0,1.61
 48-58,0,0,0,1.72,1.15,0,0,0,2.3,0,0,0
 60-70,0,0,0,0.98,0,0,0.98,0,0.98,0,0,0
 72-82,0,0,0,2.94,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,1.06,0,0,1.06,0,0,0
 96-106,0,0,0,2.19,1.09,0,0,1.09,2.19,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0
