stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,487.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,0,0,0,0,13.14,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,94.63,5.26,0,0,39.43,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.14,6.29,0,0,15.73,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,36,11,0,10,0,0,0,5,1,1,0,1,0,0,0,0,1,19,0,0,10,199,5,1,2,2,0,8,25,2,2,29,91,0,0,3,0,0
 24-34,0,0,0.82,0,10.67,2.46,0,34.48,0,0.82,0,3.28,0,0,0,0.82,1.64,0.82,3.28,0,0.82,29.55,1.64,0,16.42,384.98,1.64,5.75,1.64,0,0,11.49,0,1.64,0.82,9.03,95.22,0,0,11.49,0,0.82
 36-46,0,0,0.81,0,8.86,0,0,97.49,0.81,1.61,0,12.89,0,0,0,0,0,0,0,0,1.61,29.81,0,0.81,4.03,580.89,0.81,8.86,1.61,0,0,6.45,0,0,0.81,0,143.41,0,0,3.22,0,1.61
 48-58,0.57,0,0,0,5.16,0,0,160.67,0.57,1.15,1.15,25.25,0,0,1.15,0,0.57,1.15,1.72,0,0.57,47.63,1.15,2.3,5.16,577.82,0.57,2.87,1.72,0,0,10.33,0,0,0,0,107.88,0,0,5.16,0,2.87
 60-70,0,0,0,0,4.91,1.96,0,315.07,0.98,2.94,2.94,42.21,0,0.98,0,1.96,0.98,0.98,0.98,0,0,45.15,0,0,6.87,769.51,0,0,1.96,0,0,4.91,0,0,0,0,77.54,0,0.98,3.93,0,1.96
 72-82,0,0,0.98,0,11.78,4.91,0.98,251.31,1.96,1.96,0.98,41.23,0.98,0,2.94,1.96,0.98,1.96,0.98,0.98,0,93.26,2.94,3.93,9.82,634.15,2.94,5.89,1.96,0,1.96,13.74,0,1.96,0,0,47.12,0,2.94,7.85,2.94,1.96
 84-94,0,0,3.19,0,20.18,8.5,0,155.06,0,2.12,1.06,19.12,4.25,1.06,1.06,3.19,3.19,3.19,1.06,2.12,3.19,39.3,0,2.12,9.56,272.94,1.06,6.37,2.12,0,0,32.92,0,1.06,0,0,29.74,1.06,2.12,2.12,6.37,3.19
 96-106,0,0,1.09,0,15.3,7.65,2.19,116.93,0,1.09,0,28.41,5.46,0,2.19,5.46,4.37,1.09,2.19,0,1.09,53.55,1.09,1.09,6.56,238.24,1.09,6.56,7.65,0,1.09,31.69,0,0,0,0,20.76,1.09,0,3.28,3.28,1.09
108-118,0,0,0.77,0,19.15,6.89,2.3,106.47,0.77,4.6,2.3,27.57,9.96,0,1.53,6.89,1.53,3.83,3.06,1.53,2.3,48.26,0.77,1.53,7.66,319.41,3.83,7.66,4.6,0,0.77,22.21,0,0.77,1.53,0,9.96,3.06,3.06,6.13,0.77,7.66
120,0,0,0,0,9.8,3.92,1.96,84.27,0,1.96,1.96,15.68,1.96,0,1.96,3.92,3.92,0,3.92,0,0,23.52,0,1.96,13.72,254.77,0,1.96,9.8,0,3.92,33.32,0,0,0,0,7.84,0,1.96,11.76,1.96,1.96
