stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,12.59,6.29,0,0,15.73,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,14,0,1,0,0,0,0,0,0,1,11,0,1,0,0
 24-34,0,1.64,0.82,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0,85.37,0,3.28,0,0,0,0,0,0,0,39.4,0,2.46,0,0
 36-46,0,0,0.81,0,0,0,0.81,0.81,1.61,0,0,0,0,0,0,0,1.61,1.61,182.89,0,2.42,0,0,0,0.81,0,0,0,42.7,0,0,0,0
 48-58,0,1.72,1.72,0,0,10.33,0,0,4.59,0,0,0,0,0,0,0,1.15,0.57,218.05,0,4.02,0.57,0,0,1.15,0,0,0,43.04,0,0.57,0,0
 60-70,0,0,1.96,0.98,0,23.56,0,0,13.74,0.98,0,0,0,0,0,0,8.83,0,404.39,0.98,4.91,2.94,0,0,0,0,0,0,34.35,0,0,0,0.98
 72-82,0,5.89,5.89,0,0,40.25,0,1.96,9.82,1.96,0,0,0,0,0,0,3.93,0.98,531.08,0,11.78,0,0,0,0.98,0,0,0,41.23,0,2.94,0,0.98
 84-94,0,1.06,0,0,0,36.11,0,0,10.62,2.12,0,2.12,0,0,0,0,6.37,0,278.25,0,10.62,1.06,0,0,0,0,0,0,16.99,0,0,0,0
 96-106,0,2.19,1.09,1.09,0,31.69,0,0,8.74,4.37,0,1.09,0,0,0,1.09,5.46,1.09,232.78,0,9.84,0,0,1.09,1.09,0,0,0,15.3,0,1.09,1.09,0
108-118,0,3.83,3.83,3.06,0,16.09,0,0.77,6.89,0,0,0.77,0.77,1.53,0,0,7.66,0,291.83,0,7.66,0.77,0,0.77,0,0.77,0,0,14.55,0,2.3,0,0
120,0,1.96,5.88,1.96,1.96,25.48,0,1.96,5.88,0,0,1.96,0,0,0,0,3.92,0,403.72,0,9.8,1.96,0,0,1.96,0,1.96,0,19.6,1.96,3.92,1.96,0
