stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,318.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,5.26,0,18.4,0,0,0,26.29,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,197.15,13.14,0,0,78.86,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,6.29,0,0,0,28.32,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,217.14,6.29,0,0,100.7,0,0,0,18.88,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,11,1,0,5,0,0,0,3,1,1,0,0,1,0,0,0,0,5,0,0,0,71,1,0,1,1,0,0,10,2,10,26,0,0,3,0,0
 24-34,0,0,0,0,5.75,0,0,14.78,0,0.82,0,4.1,0,0,0,0,0,0,0,0,0,15.6,0.82,0,4.1,141.19,0,1.64,0.82,0,7.39,0,0,0,0.82,33.66,0,0,0.82,0,0
 36-46,0,0,0,0,3.22,0.81,0,31.42,0,0,0.81,6.45,0,0,0.81,0,0,0.81,0,0,0,18.53,1.61,0,4.03,180.47,0,3.22,1.61,0,4.83,0,0,0.81,0,39.48,0,0,2.42,0,0
 48-58,0,0,0,0,2.87,0,0,49.35,0,0,0.57,8.03,0,0,1.15,0,0,0,0,1.15,0.57,29.26,0.57,0,4.59,155.5,0.57,1.72,0.57,0,1.15,0,0,1.15,0,30.41,0,0.57,2.87,0,0.57
 60-70,0,0,0,0,1.96,0,0,53.98,0,0,0,11.78,0.98,0,0,0,0.98,0,0,0,0,29.45,0.98,1.96,0,155.08,0,0,1.96,0,1.96,0,0,0,0,22.58,0,0.98,0.98,0,0
 72-82,0,0,0.98,0,1.96,1.96,0,73.62,0,0,0.98,17.67,0,0,0,0,0,0,0.98,0.98,0,30.43,0,0,1.96,153.14,0,2.94,1.96,0,6.87,0,0,0,0,13.74,0,0,3.93,2.94,0.98
 84-94,0,0,1.06,0,6.37,2.12,0,53.1,0,0,1.06,16.99,2.12,1.06,1.06,3.19,0,1.06,2.12,0,1.06,25.49,2.12,1.06,1.06,88.15,0,1.06,1.06,0,13.81,0,0,0,0,8.5,1.06,0,3.19,2.12,0
 96-106,0,0,0,0,6.56,0,0,49.18,0,2.19,1.09,17.49,1.09,0,0,1.09,0,0,1.09,1.09,0,19.67,0,0,2.19,66.66,0,7.65,3.28,0,12.02,0,0,0,0,5.46,1.09,3.28,4.37,1.09,0
108-118,0,0,0,0,6.13,1.53,0.77,22.98,0.77,2.3,1.53,9.19,1.53,0,0.77,0,0.77,0,1.53,0,0,24.51,0.77,0,3.06,81.19,0,2.3,3.83,0,3.83,0,0,0,0,3.83,0,0.77,4.6,0,1.53
120,0,0,1.96,0,5.88,0,0,29.4,0,1.96,0,11.76,0,0,0,1.96,0,0,1.96,0,0,21.56,0,0,0,62.71,1.96,0,0,0,5.88,0,0,1.96,0,3.92,0,0,1.96,0,0
