stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,3,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,0.82,0,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0.82,0,0,0.82,6.57,0,0,0.82,0,0,0.82,0,0,3.28,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,2.42,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,8.86,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,2.87,0,0,0,0.57,0,0,0,0,0,0,0,0,0,1.15,0,0,0.57,10.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,4.91,2.94,0,0,0,1.96,0,0,0,0,0.98,0,0,1.96,0,2.94,0,0,1.96,32.39,0,0,0,0,0,0,0,0.98,1.96,0,0.98,0,0,0
 72-82,0,0,1.96,0,31.41,24.54,70.68,156.08,0,1.96,2.94,49.08,7.85,0,4.91,9.82,2.94,4.91,1.96,9.82,0,141.36,4.91,1.96,12.76,385.79,4.91,7.85,9.82,0,0.98,31.41,1.96,0,25.52,3.93,3.93,23.56,5.89,6.87
 84-94,0,0,0,0,21.24,19.12,149.75,138.06,0,0,7.43,23.36,7.43,1.06,3.19,9.56,4.25,6.37,2.12,7.43,2.12,88.15,5.31,4.25,14.87,262.32,1.06,3.19,7.43,0,0,49.92,1.06,1.06,12.74,6.37,1.06,6.37,5.31,3.19
 96-106,1.09,0,15.3,0,342.06,253.54,314.74,851.33,29.51,66.66,31.69,314.74,112.56,0,30.6,132.23,44.81,24.04,36.06,111.47,9.84,764.99,29.51,52.46,99.45,1386.82,17.49,52.46,67.76,0,19.67,561.72,13.11,8.74,44.81,27.32,22.95,163.93,55.74,40.44
108-118,0,0,11.49,0,479.49,195.32,649.54,1302.14,29.11,115.66,64.34,439.66,113.36,0,15.32,121.02,55.92,69.7,36,123.32,39.83,1013.37,32.17,32.94,167.75,2685.47,32.17,52.09,71.23,0,21.45,713.11,21.45,19.92,81.19,42.13,24.51,117.19,34.47,94.98
120,3.92,0,5.88,3.92,444.87,176.38,295.93,876.02,31.36,76.43,41.16,419.39,84.27,0,15.68,143.06,37.24,25.48,21.56,99.95,3.92,815.27,17.64,39.2,137.18,2390.94,56.83,54.87,68.59,0,17.64,386.08,19.6,7.84,80.35,9.8,33.32,143.06,25.48,21.56
