stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,42.06,5.26,0,21.03,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,6.29,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,8,6,0,3,0,0,0,0,0,0,0,1,0,1,36,1,0,0,0,3,0,6,11,0,0,0,0
 24-34,0,0,1.64,5.75,0.82,0.82,0.82,0,2.46,0,0,0,0,4.93,0,3.28,77.98,0,0.82,0,1.64,0,0,2.46,18.06,0,1.64,0,0.82
 36-46,0,0,0,10.47,0,3.22,0,0,0,0,0.81,0,0,3.22,0,1.61,29,0,0.81,0,1.61,0,0,0,5.64,0,1.61,0,0
 48-58,0,0,0,10.33,0,3.44,0,0,0,0,0,0,0.57,5.74,0,0.57,16.07,0,0,0,0.57,0,0,0,3.44,0,1.15,0,0.57
 60-70,0,0,0,6.87,0,2.94,0,0,0,0,0,0.98,0,2.94,0,0.98,10.8,0,0,0,0,0,0,0,1.96,0,0,0,0
 72-82,0,0,0.98,5.89,0,1.96,0,0,0,0,0,0,0,6.87,1.96,2.94,11.78,0,0,0,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,2.12,0,0,0,0,0,0,0,0,0,2.12,1.06,1.06,6.37,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,2.19,0,2.19,0,0,0,0,0,0,0,3.28,1.09,0,7.65,0,0,0,2.19,0,0,0,0,0,1.09,1.09,0
108-118,0,0,0.77,0.77,0,0,0.77,0,0.77,0.77,0,0,0,1.53,0,0.77,3.83,0,0,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,3.92,0,0,0,0,1.96,0,0,0,0,1.96,11.76,0,0,0,3.92,0,0,0,0,1.96,1.96,0,0
