stage,blastomeres,endoderm,erythrocytes,eye,fin_mesenchyme,glial,immune,mesenchyme,muscle,neural,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,0
 14-21,0,0,1,0,0,0,0,0,0,0,1
 24-34,0,0,1.64,0,0,0,0,0,0,0.82,2.46
 36-46,0,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,1.72,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0.98,0,0,1.96,0
 72-82,0,0,0,0.98,0,0,3.93,0,1.96,0,0
 84-94,0,2.12,0,0,0,0,3.19,0,0,0,0
 96-106,0,0,0,0,0,0,7.65,0,0,0,0
108-118,0,0,0,0.77,0,0.77,12.26,0,0,0.77,0
120,0,0,0,0,0,0,9.8,0,3.92,0,0
