stage,blastomeres,epidermis,gut,hatching.gland,immune,ionocyte,mesenchyme,mucous,muscle,neural,paraxial.mesoderm,periderm,somites,spinal.cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,31.54,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,28.32,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,1,1,1,0,0,0,0,0,0,1,0
 24-34,0,0.82,0,0,0,0,0,6.57,0,1.64,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,4.83,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0.57,0.57,8.61,0,1.15,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,2.94,0,0.98,0,0,5.89,0.98,0,0,0.98,0,0
 84-94,0,0,6.37,0,0,0,1.06,8.5,0,0,0,0,0,0
 96-106,0,0,7.65,0,4.37,0,0,9.84,0,0,0,0,0,0
108-118,0,0,4.6,0,4.6,0.77,0,1.53,0.77,0.77,0,0,0,0
120,0,0,0,0,1.96,0,0,3.92,0,0,0,0,0,0
