stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,2.46,0,0.82,0.82,0,0,0,0,0,0.82,0,0,0,0,2.46,0.82,0,0,18.88,0,1.64,2.46,0,0,224.91,0,0,0,0.82,4.1,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,4.83,0,0,0.81,0,0.81,0,3.22,0,0,0,0,3.22,2.42,0,0.81,17.72,0,5.64,0.81,0,0,352.08,0,2.42,0,0,2.42,0,0,0.81,0,0
 48-58,0,0,0,2.87,0.57,0,14.92,0,21.23,0.57,0.57,0.57,0.57,0,1.15,1.72,0,0,0.57,1.15,13.2,7.46,0,1.15,46.48,0,9.18,0.57,0,0.57,778.08,0,2.3,0,0,6.89,0,0.57,1.72,0,2.3
 60-70,0,0,0,25.52,0.98,0,43.19,0,35.33,1.96,5.89,0.98,0.98,0,0.98,7.85,0.98,0.98,0,0,11.78,17.67,0.98,1.96,81.47,0,23.56,0,0,0,1355.48,0,2.94,0,0,15.7,0,0,0,0.98,1.96
 72-82,0,0,0,118.78,9.82,0,117.8,1.96,60.86,6.87,31.41,9.82,0,0,6.87,28.47,0,3.93,1.96,0.98,59.88,32.39,2.94,5.89,213.02,0.98,32.39,3.93,0,1.96,1656.06,0,1.96,0.98,0,6.87,7.85,2.94,10.8,5.89,3.93
 84-94,0,0,0,280.38,6.37,0,64.78,1.06,179.48,2.12,14.87,23.36,0,0,5.31,88.15,0,0,0,2.12,38.23,42.48,1.06,3.19,106.2,2.12,112.58,2.12,0,0,4695.27,0,21.24,3.19,0,6.37,16.99,2.12,5.31,3.19,3.19
 96-106,2.19,2.19,0,526.75,49.18,7.65,194.53,6.56,240.43,15.3,71.04,68.85,0,3.28,29.51,143.16,7.65,18.58,22.95,2.19,133.33,98.36,8.74,27.32,473.2,2.19,162.83,13.11,1.09,4.37,4956.06,0,27.32,5.46,0,12.02,54.64,4.37,30.6,16.39,14.21
108-118,0,3.06,0.77,490.98,12.26,3.83,90.38,1.53,366.13,4.6,45.19,57.45,0,2.3,23.74,175.41,4.6,6.13,9.19,2.3,95.75,92.68,6.13,15.32,350.05,2.3,107.23,6.89,0,2.3,4968.8,0,22.21,1.53,0,5.36,42.13,2.3,6.89,4.6,3.83
120,1.96,0,0,362.56,19.6,7.84,66.63,0,233.21,1.96,25.48,21.56,0,0,21.56,74.47,1.96,5.88,1.96,0,48.99,45.08,1.96,17.64,256.73,5.88,64.67,5.88,0,0,2794.65,0,23.52,1.96,0,7.84,9.8,1.96,3.92,7.84,1.96
