stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,184.49,2319.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0,0
  5-6,42.91,760.07,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,147.11,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.51,0,0,0,13.14,0,0,0,0,155.09,0,0,0,0,0,0,0,0,0,0,0,115.66,0,0,0,18.4,15.77,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,3.15,0,0,0,0,157.35,0,0,0,0,0,0,0,0,0,0,0,135.32,0,0,0,9.44,9.44,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,5,215,0,0,1,4,0,0,1,60,0,0,53,0,0,0,0,0,4,0,1,8,1,1,4,0,183,0,8,1,4,0,0,0,0,0
 24-34,0,0,0.82,2.46,162.53,0,0,4.1,14.78,0,0.82,0,13.13,0,0,66.49,0,1.64,1.64,0,5.75,31.19,0,1.64,50.89,0,18.88,9.03,0,387.44,0,4.93,0,7.39,0,0,0.82,0,0
 36-46,0,0,0,0,99.1,0,0,1.61,25.78,0,0.81,1.61,2.42,0.81,0,29,0,3.22,1.61,0,2.42,20.95,0,0,42.7,0.81,18.53,8.06,0,315.82,0,2.42,0,4.83,0,0,0,0,0
 48-58,0,0,0,0.57,90.09,0,0,6.89,28.69,0,1.72,1.15,3.44,0,0,14.92,0,4.02,0.57,0.57,5.16,12.05,0,0.57,34.43,0,10.9,4.59,0,218.05,0,1.72,0,7.46,0,0,0.57,0,0
 60-70,0,0,0,0,109.93,0,0,8.83,25.52,0,4.91,4.91,0.98,0,0.98,14.72,0,8.83,0,0,3.93,11.78,0,0,25.52,0.98,14.72,9.82,0,239.49,0,3.93,0,0.98,0,0,0.98,0,0
 72-82,0,0,3.93,0,166.88,0,0,7.85,35.34,0.98,1.96,27.49,0,0.98,2.94,48.1,0,7.85,5.89,0,7.85,43.19,0.98,2.94,37.3,0,18.65,13.74,0,318.06,0,0.98,0,0.98,13.74,0.98,1.96,0,0
 84-94,1.06,0,2.12,1.06,216.66,0,0,7.43,70.09,0,1.06,37.17,5.31,0,0,70.09,1.06,5.31,2.12,0,5.31,26.55,0,0,20.18,0,6.37,13.81,0,745.55,0,5.31,0,0,12.74,0,0,1.06,0
 96-106,0,0,3.28,0,280.86,3.28,1.09,18.58,87.43,0,4.37,59.01,1.09,0,3.28,78.68,0,10.93,9.84,0,10.93,34.97,0,1.09,39.34,0,30.6,19.67,0,649.15,0,3.28,0,0,21.86,2.19,2.19,0,1.09
108-118,0,0,3.06,2.3,344.68,1.53,4.6,6.89,106.47,2.3,5.36,50.55,0,0,6.89,72.77,0,5.36,6.89,0,6.13,34.47,0,1.53,40.6,0,10.72,16.09,0,582.13,0,3.83,0,1.53,26.81,0,0.77,0,0
120,0,0,0,0,246.93,0,0,1.96,72.51,0,0,31.36,0,0,1.96,23.52,0,3.92,5.88,0,0,25.48,1.96,1.96,21.56,0,13.72,9.8,0,397.84,0,3.92,0,1.96,17.64,1.96,0,1.96,0
