stage,axial,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
 24-34,0,0,1.64,0,2.46,0.82,0,0,0,0,0.82,0.82,0,0,0,1.64,0,0,0,2.46,0,0.82,0,2.46,0,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0.81,0,0,0,0.81,0,0,0
 48-58,0,0,0.57,0,0.57,0.57,0,0,0,0,0,0,0,1.15,0,2.3,0,0,0,0.57,0,0,0,0.57,0,1.15,0,0,1.15
 60-70,0,0,0,0,1.96,0,0.98,0.98,0.98,0,0.98,0,0,0,0.98,1.96,0,0,0,0,0,0,0,2.94,0,0,0,0,0
 72-82,0,0,0.98,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0,1.96,0,0,0,0,0,0,0,0,0
 84-94,1.06,0,0,1.06,1.06,0,0,0,0,2.12,2.12,0,0,1.06,0,1.06,1.06,0,0,1.06,0,0,0,2.12,1.06,0,0,1.06,0
 96-106,0,0,2.19,2.19,0,1.09,0,1.09,1.09,0,0,0,1.09,0,0,1.09,1.09,0,0,0,0,1.09,0,1.09,0,0,0,0,0
108-118,0,0,2.3,0.77,2.3,0,0,0,0.77,0,0,0,0,1.53,0,3.83,0,0,0,0,0,0.77,0,4.6,0.77,0,1.53,0,0
120,0,1.96,0,0,1.96,0,0,0,3.92,0,0,0,0,0,0,3.92,0,1.96,1.96,1.96,1.96,0,1.96,11.76,0,0,0,0,0
