stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,18.4,0,0,0,0,0,2.63,0,0,0,0,0,0,0,47.32,0,0,0,31.54,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,0,0,0,15.73,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,1,1,4,0,0,0,1,0,0,0,0,0,0,3,0,3,34,1,0,0,1,0,0,4,0,4,15,0,0,1,0
 24-34,0,0,0,0,0,12.31,0,0,0,1.64,0,0,0.82,0,0,0,7.39,0,1.64,64.03,0,0.82,0.82,0,0,0.82,0,0,1.64,10.67,0,0,18.88,0
 36-46,0,0,0,0,0.81,8.06,0,0,0.81,0.81,0,0,0,0,0,0,5.64,0,0,38.67,0,0,0,0,0,0,0,0,0,7.25,0,0,4.83,0
 48-58,0,0,0,1.72,0,10.9,0,0,0,4.02,0.57,0,0,0,0,0,5.74,0.57,2.3,28.12,0,0.57,0,0,0,0,0,0,0,9.18,0,0,2.3,0
 60-70,0,0,0,0,0,9.82,0.98,0,0,3.93,0,0,0,2.94,0,0,9.82,0,0,21.59,0,0,0,0,0,0,0,0,0,2.94,0,0.98,0,0
 72-82,0,0,0,0.98,0,8.83,0,0,0,1.96,0,0,0.98,3.93,0,0,11.78,0,0,27.49,0,0,0,0,0.98,0,0,0,0,1.96,0,0,2.94,0
 84-94,0,0,0,0,0,7.43,0,1.06,0,1.06,0,0,0,5.31,1.06,0,7.43,0,1.06,15.93,0,0,0,0,0,3.19,0,0,0,1.06,1.06,0,3.19,1.06
 96-106,0,0,0,1.09,0,6.56,0,0,0,3.28,0,0,0,8.74,0,0,4.37,0,0,7.65,0,2.19,1.09,0,0,0,0,0,0,0,0,0,4.37,0
108-118,0,0,0,0,0,1.53,0,0,0,2.3,0,0,0,5.36,0,0.77,0,0,0,5.36,0,0,0,0,0,0,0,0,0,0,0,0,1.53,0
120,0,0,0,0,1.96,3.92,0,0,0,3.92,0,0,0,3.92,0,0,3.92,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0
