stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1,0,0,0,1,15,0,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,92.76,5.75,0,0,0.82,0,0,0,41.04,0,0,0,0
 36-46,0,0,0.81,0,3.22,0.81,0,2.42,0,0,0,0,0,0,0,0,0,0,163.55,4.03,0.81,0,0.81,0.81,0,0,82.18,0,0,0,0
 48-58,0,0,0.57,0,26.97,0,0,5.74,0,0,0,0,0,0,1.15,0,0,1.15,255.34,5.16,0.57,0,0.57,0,0,0,105.01,0,0,0.57,0.57
 60-70,0,0.98,0.98,0,80.48,0.98,0,7.85,0,0,0.98,0,0,0,5.89,0.98,0,0,383.78,4.91,0.98,0,0,0,0,0,130.54,0,0,0,0
 72-82,0,1.96,1.96,0,82.46,0,0,8.83,0,0.98,0,0,0,0,12.76,0,0,1.96,377.94,12.76,0,0,0,0.98,0.98,0,105.04,0,0,1.96,0
 84-94,0,0,3.19,1.06,62.66,0,1.06,6.37,0,0,0,0,0,0,6.37,0,1.06,2.12,190.1,2.12,0,0,2.12,0,0,0,55.23,0,1.06,0,0
 96-106,0,0,3.28,0,50.27,0,1.09,7.65,0,0,0,0,1.09,0,10.93,0,0,2.19,151.91,16.39,3.28,0,0,0,0,0,27.32,0,0,0,0
108-118,0,1.53,2.3,1.53,39.06,0,0,5.36,0.77,0.77,0.77,2.3,0,0.77,6.89,0,0,0,177.7,9.96,0,0,1.53,0,0,0,13.79,1.53,0,0.77,0.77
120,0,1.96,1.96,0,27.44,0,1.96,9.8,0,1.96,0,0,0,0,5.88,0,1.96,3.92,190.1,1.96,0,0,0,0,0,0,29.4,0,0,1.96,0
