stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,9,6,0,1,0,0,0,1,0,0,1,0,19,0,0,1,0,3,3,0,3,48,1,0,0,0,2,5,6,1,1,21,0,0,1,0,0
 24-34,0,4.1,0,0,10.67,0,1.64,0,0.82,0,0.82,0.82,0.82,41.04,0,1.64,0.82,0,4.93,15.6,0,0.82,109.17,0,10.67,0.82,0.82,9.85,0,20.52,0,0.82,18.88,0,0,2.46,0,0
 36-46,0,3.22,0.81,0,14.5,0,0.81,0,0.81,0.81,0.81,0.81,0,12.89,0,0,0,1.61,7.25,3.22,0,2.42,112.79,0,12.89,1.61,0.81,10.47,0,8.06,0,0,18.53,0,0,1.61,0,0
 48-58,0,5.16,0.57,0,24.67,0,0,0.57,4.59,0.57,3.44,0.57,1.72,10.33,0,1.15,0.57,0,11.48,5.74,0,1.72,83.78,1.15,12.62,0,0,8.03,0,4.02,0,0,16.64,0,0,1.72,0,0
 60-70,0,5.89,0,0,35.33,0,0,0,9.82,0.98,0.98,0,2.94,12.76,0.98,2.94,0,0,9.82,6.87,0,0,80.48,0,14.72,2.94,0,8.83,0,3.93,0,0,12.76,1.96,0,1.96,0,0
 72-82,1.96,6.87,7.85,0,41.23,1.96,0.98,0,15.71,3.93,2.94,0.98,6.87,15.71,0,4.91,0.98,0,22.58,9.82,0.98,1.96,64.79,0,27.49,4.91,0,15.71,0,14.72,0,0,4.91,6.87,0,2.94,0,0.98
 84-94,2.12,10.62,2.12,0,31.86,0,3.19,1.06,4.25,9.56,2.12,0,11.68,27.61,1.06,2.12,0,0,19.12,10.62,0,2.12,42.48,0,24.43,3.19,0,39.3,0,15.93,1.06,0,5.31,18.05,0,1.06,2.12,0
 96-106,2.19,25.14,1.09,1.09,26.23,0,0,0,8.74,29.51,0,0,10.93,30.6,1.09,13.11,4.37,0,21.86,8.74,1.09,1.09,33.88,0,32.79,4.37,0,49.18,0,26.23,0,0,9.84,42.62,1.09,4.37,3.28,2.19
108-118,1.53,23.74,0.77,0.77,23.74,0.77,5.36,2.3,6.89,36,0,0,12.26,33.7,0.77,2.3,0.77,0,12.26,8.43,0,0.77,35.23,0,27.57,6.89,0.77,31.4,0,30.64,0,0,3.06,73.53,0,0.77,0.77,0.77
120,0,17.64,1.96,3.92,13.72,0,1.96,0,0,37.24,0,0,15.68,21.56,0,5.88,0,1.96,3.92,1.96,0,1.96,43.12,5.88,29.4,3.92,0,39.2,0,31.36,0,0,0,23.52,0,5.88,0,0
