stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,13,0,0,0,0,0
 24-34,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,64.03,0.82,0.82,0,0,0,0,0,30.37,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,1.61,0,0.81,0,0,0,0.81,0,0,0,0,0,0,0,0,0,279.57,0,0,0.81,0,0,0,0,42.7,0,0,0,0,0
 48-58,0,0,0.57,0,2.87,0,19.51,0,0,0.57,6.89,0,0,0,0,0,0,0,5.16,0,0,0.57,492.9,0,0,0.57,0,0,0.57,0.57,29.84,0,0,0,0,0.57
 60-70,0,0,1.96,0,1.96,0,64.78,0.98,0,0.98,21.59,0.98,0.98,0,0,0,0,0,6.87,0,0,2.94,1137.58,0,0,1.96,0,0.98,0,0.98,97.17,0,0,0,0,0
 72-82,0,0,2.94,0,8.83,3.93,97.18,0,0,5.89,30.43,0,0,0,0,0,0,0,14.72,0.98,0,2.94,1150.51,0.98,1.96,0,0,0,0,0.98,74.61,0,1.96,1.96,0,0
 84-94,0,0,2.12,0,12.74,2.12,99.83,0,1.06,0,22.3,0,1.06,0,1.06,1.06,0,0,12.74,0,0,0,606.42,0,1.06,3.19,0,0,2.12,0,36.11,0,0,0,0,1.06
 96-106,0,0,0,1.09,7.65,1.09,93.98,0,0,1.09,26.23,3.28,0,1.09,1.09,0,2.19,0,9.84,0,0,0,546.42,0,0,5.46,0,0,4.37,2.19,27.32,3.28,0,0,0,1.09
108-118,0,0,2.3,0,4.6,0.77,55.15,0,1.53,0.77,17.62,0.77,0,0.77,0,0,0,0.77,10.72,0,0.77,1.53,571.41,0.77,0.77,1.53,0,0,0.77,0,9.19,1.53,0.77,0,0.77,0.77
120,0,0,1.96,0,17.64,1.96,64.67,0,1.96,1.96,23.52,0,0,3.92,0,0,0,0,9.8,1.96,1.96,9.8,707.48,0,0,1.96,0,0,1.96,0,25.48,0,0,1.96,0,0
