stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,18,0,0,0,0,0,0,1,1,1,2,7,0,0,2,0,0
 24-34,0,0,0,1.64,0,2.46,0,0,0,0,0,0,0,0.82,2.46,0.82,0,0,0,6.57,0,4.1,87.83,0,0.82,0,0,0,0.82,0,0,0,0.82,27.09,0,0,2.46,0,0
 36-46,0,0,0,2.42,0,17.72,0,0,0.81,3.22,0,0,0,0,0,0,0,0,0,12.09,0,2.42,143.41,0.81,0,0,0,0,0,0,0,0,0,26.59,0,0,2.42,0,0
 48-58,0,0,0,1.72,0,59.68,0.57,0,1.15,4.59,0,0,0,0,0.57,0,0,0,0,9.75,0.57,2.3,187.06,0.57,0.57,0,0,0,1.15,0,0,0,0,30.99,0,0,1.15,0,0.57
 60-70,0,0,0,1.96,0,75.58,0,0,0.98,7.85,0,0,0,0.98,0,0,0,0,0,14.72,0,0,280.72,0,1.96,0.98,0,0,1.96,0,0,0,0,21.59,0,0,1.96,0,1.96
 72-82,0,0,0,3.93,0,74.61,0,0,0,7.85,0,0,0,5.89,0,0.98,0,0.98,0,19.63,1.96,0.98,192.41,0.98,0.98,1.96,0,0.98,0,0,0,0,0,27.49,0,0,1.96,0,0
 84-94,0,0,0,8.5,0,41.42,0,1.06,0,11.68,2.12,0,0,6.37,0,0,1.06,0,0,10.62,3.19,1.06,101.96,0,2.12,0,0,0,1.06,0,0,0,0,12.74,0,1.06,4.25,1.06,0
 96-106,0,0,0,0,0,38.25,0,0,2.19,2.19,2.19,0,0,2.19,0,0,0,0,0,19.67,0,4.37,78.68,0,3.28,2.19,0,0,2.19,0,0,0,0,7.65,0,2.19,4.37,0,0
108-118,0,0.77,0,8.43,0.77,30.64,0,1.53,0.77,9.19,1.53,0,0,3.06,1.53,3.06,0,1.53,0,13.02,0.77,0,130.98,0,0,0.77,0,0,2.3,0,0,0,0,3.06,0.77,0,1.53,0,0
120,0,0,0,1.96,0,15.68,0,1.96,1.96,17.64,0,0,1.96,3.92,0,0,0,0,1.96,9.8,0,7.84,121.51,0,0,1.96,0,0,1.96,0,0,0,0,11.76,0,0,3.92,0,0
