stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.46,0,0,15.77,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,6.29,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.03,6.29,0,44.06,0,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,1,14,1,0,4,0,0,0,0,2,0,0,0,0,0,2,0,0,9,21,1,0,2,0,10,0,16,13,0,0,1,0
 24-34,0,0.82,0,11.49,0,0,3.28,0,0,0,3.28,0,0,0,2.46,0,0,9.85,0.82,0,3.28,38.58,2.46,1.64,0,3.28,0,1.64,4.93,5.75,0,0,1.64,0
 36-46,0,0,0,4.03,0,0,12.09,0,0,0.81,3.22,0,0,0,0,0.81,0,11.28,0,0,6.45,58.81,0,0.81,0,1.61,0,0,0,16.92,0,0,0,0
 48-58,0,0,0,2.3,0,0,31.56,0,0,0.57,4.59,0,0.57,0,0,0.57,0,20.08,0,0,3.44,47.05,0,0.57,0,2.3,0,0,0,13.2,0,0.57,1.15,0
 60-70,0,0,0,0.98,0,0,63.8,0,1.96,1.96,8.83,0,0,0,0,0.98,0.98,22.58,0.98,0,4.91,105.02,0,1.96,0,1.96,0,0,0,9.82,0,0,0,0
 72-82,0,0,0,0.98,0,0,86.39,0,0,0,13.74,0,0,0,0,1.96,0,37.3,1.96,1.96,2.94,111.91,0,1.96,0,2.94,0,0.98,0,9.82,1.96,0,0,0
 84-94,0,0,0,1.06,0,0,40.36,0,3.19,0,6.37,3.19,0,0,0,0,0,25.49,1.06,0,1.06,47.79,1.06,1.06,0,1.06,0,0,0,3.19,0,0,1.06,1.06
 96-106,0,0,0,4.37,0,1.09,30.6,0,0,1.09,7.65,1.09,0,1.09,1.09,2.19,1.09,15.3,0,0,1.09,34.97,0,1.09,0,4.37,0,0,0,4.37,2.19,0,1.09,0
108-118,0,0,0,2.3,0,0,23.74,0.77,0.77,0,7.66,0,0.77,0,0,1.53,0,19.15,0,0.77,0.77,39.83,0.77,0,0,3.83,0,0,0,0.77,0,0,1.53,0
120,0,0,0,17.64,0,0,23.52,0,1.96,1.96,7.84,1.96,0,0,1.96,0,0,17.64,0,0,0,72.51,1.96,0,0,5.88,0,0,0,1.96,0,1.96,0,0
