stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,184.49,3953.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0,0,0,0
  5-6,165.5,1771.46,0,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,85.81,6.13,0,6.13,0,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,5.26,0,0,10.51,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,157.72,13.14,0,63.09,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,9.44,0,6.29,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,531.84,3.15,0,22.03,0,3.15,6.29,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,747,70,6,1,0,1,3,0,2,24,7,0,0,1,0,7,2,0,5,33,0,0,2,0,78,2,9,0,1,8,11,0,0,25,0,1
 24-34,0,0,0.82,0,279.09,11.49,4.1,18.88,0.82,0,1.64,0,4.1,50.89,4.93,0,0,0.82,5.75,28.73,4.93,0.82,8.21,35.3,0.82,0,0,0,69.77,0,0.82,0,0,7.39,5.75,0,0,87.01,0,3.28
 36-46,0,0,0,0,75.73,1.61,2.42,19.34,7.25,1.61,0,0,2.42,49.95,0,0,0,0,1.61,12.89,1.61,0,6.45,24.17,0,0,0,0,64.45,0,0,0,0,0,2.42,0,0,41.89,0,2.42
 48-58,0.57,0,0,0,55.66,0.57,4.02,25.25,9.18,1.15,0,0,1.15,41.31,0,0,0,0,0.57,16.07,1.15,0.57,6.31,14.35,0,0,0,0,27.54,0.57,0,0,0,0,4.02,0,0,30.41,0,1.72
 60-70,0,0,0,0,60.85,0,4.91,22.58,6.87,4.91,1.96,0,0,48.09,0,0,0,0,0.98,8.83,0,0,3.93,12.76,0,0,0,0.98,52.02,0,0,0,0,0,0,0.98,0,18.65,0,2.94
 72-82,0,0,0,0,54.97,0.98,8.83,12.76,2.94,1.96,0.98,0,1.96,91.29,3.93,1.96,0,0,0,11.78,1.96,5.89,2.94,11.78,0,0,0,0.98,45.16,0,0,0,0,0,0,0,1.96,46.14,2.94,1.96
 84-94,0,0,0,0,98.77,1.06,4.25,24.43,3.19,3.19,0,0,1.06,123.2,7.43,1.06,0,1.06,0,18.05,3.19,2.12,1.06,7.43,0,1.06,0,3.19,152.93,0,0,1.06,0,0,0,2.12,0,54.16,4.25,1.06
 96-106,0,0,0,0,75.41,4.37,12.02,21.86,3.28,3.28,1.09,0,3.28,136.61,1.09,1.09,1.09,0,0,15.3,0,2.19,0,16.39,0,3.28,0,2.19,142.07,0,0,0,0,0,0,0,1.09,39.34,3.28,2.19
108-118,0,0,0,0.77,81.19,0.77,16.09,28.34,0.77,0.77,3.06,0,1.53,117.19,4.6,2.3,1.53,0,0.77,13.02,2.3,0.77,0.77,13.79,0.77,0.77,0,3.06,133.28,0,0,0,0,0,1.53,0.77,0,16.85,0.77,1.53
120,0,0,0,0,48.99,1.96,15.68,23.52,1.96,3.92,0,0,0,148.94,5.88,0,0,1.96,0,3.92,1.96,1.96,0,15.68,0,1.96,0,5.88,109.75,0,0,0,0,0,0,0,0,19.6,0,1.96
