stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,15.73,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,4,55,0,3,0,2,0,0,0,1,1,0,0,0,0,0,0,2,0,6,37,2,0,0,1,0,1,0,1,12,0,1,0,0
 24-34,0,0,0.82,1.64,1.64,0,4.1,0,0,0,0.82,0,0,0.82,0,0.82,0,0,0,0,0,0,0,16.42,0,0,0,0,0,0,0,0,3.28,0,3.28,0,0
 36-46,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0.81,20.95,0,0,0,0,0.81,0,0,0,1.61,0,0,0,0.81
 48-58,0,0,0,0,0,0,2.3,0,0,0,1.72,0,0,0,0,0,0,0,0,0,3.44,0,1.15,29.26,0,0,0,0,0,0,0,0,2.3,0,0,0,0
 60-70,0,0,0,0,0,0,10.8,0,0,1.96,2.94,5.89,0,0,0,0,0,0,0,0,7.85,0,0.98,43.19,0,0,0,0,0,0,0,0,1.96,0,0,0,0
 72-82,0,0,0,1.96,0.98,0,16.69,0,0,0.98,3.93,20.61,0,0,0,0.98,0,0,0,0,8.83,0,0,56.94,0,0,0,0,1.96,0,0,0,0.98,0.98,0,0,0
 84-94,0,3.19,0,3.19,0,0,16.99,0,0,1.06,0,29.74,0,1.06,0,0,0,1.06,1.06,1.06,2.12,0,1.06,37.17,0,0,1.06,0,2.12,0,0,0,2.12,0,1.06,0,0
 96-106,0,0,0,4.37,1.09,1.09,19.67,2.19,0,0,7.65,59.01,0,0,0,1.09,0,0,2.19,1.09,9.84,0,0,36.06,1.09,0,0,0,5.46,0,0,0,2.19,0,0,0,1.09
108-118,0,0,0,2.3,0.77,0,8.43,0,0,0,5.36,45.19,0,0,0,0,0.77,0,0.77,0.77,10.72,0.77,0,45.19,0,0,0,0,1.53,0,0,0,0,0,0.77,0.77,0
120,0,0,0,1.96,1.96,0,13.72,0,0,0,11.76,47.03,0,0,1.96,0,0,0,1.96,0,1.96,0,0,68.59,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0
