stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,79,0,0,104,11,6,0,0,0,0,0,2,0,0,14,12,0,0,1,0,0
 24-34,0,0,0,2.46,0,0,2.46,0,1.64,0.82,0.82,0,0,13.13,0,0.82,0,0,0,270.88,0,0,130.52,21.34,24.63,0,0.82,0,1.64,0,0,0.82,1.64,0,4.1,0,0,3.28,0,0
 36-46,0,0,0,1.61,0,0,4.03,0,0,4.03,4.03,0,0,17.72,0,0,0,0,0,509.99,0,3.22,132.13,37.06,31.42,0.81,1.61,0,0.81,0,0,0,0,0,6.45,0,1.61,2.42,0.81,0
 48-58,0,0,0,0.57,0.57,0,13.2,0,0,10.33,2.87,0,0,14.35,0,0,0,0,0,822.84,0,13.2,102.71,37.87,5.74,0,1.15,0,1.72,1.15,0,0,0.57,0,4.59,0,5.16,0,0.57,0
 60-70,0,0,0,0.98,0.98,0,16.69,0.98,0,5.89,2.94,0,0,7.85,0,7.85,0,2.94,0,1103.23,0,26.5,89.32,39.26,3.93,0,0,0,15.7,1.96,0,0,0,0,2.94,0,17.67,1.96,3.93,0.98
 72-82,0,0.98,0,6.87,1.96,0,37.3,0.98,0,22.58,11.78,0,0,8.83,0,11.78,0,0,0.98,1336.04,0.98,53.01,116.82,55.95,0,0,0,0,23.56,1.96,0,0,0,0,1.96,0,47.12,3.93,21.6,0
 84-94,0,0,0,6.37,2.12,0,67.97,1.06,0,6.37,2.12,0,0,9.56,4.25,8.5,0,1.06,0,786.97,0,48.85,56.29,25.49,1.06,2.12,0,0,16.99,3.19,0,0,0,0,1.06,0,27.61,4.25,18.05,0
 96-106,0,0,0,7.65,1.09,2.19,29.51,0,1.09,12.02,7.65,0,0,9.84,0,4.37,1.09,3.28,0,705.98,1.09,34.97,43.71,46.99,0,1.09,2.19,0,42.62,3.28,0,0,0,0,1.09,1.09,45.9,2.19,8.74,0
108-118,0,0,0.77,5.36,0.77,0,15.32,0,0.77,6.13,3.06,0,0,3.06,1.53,6.13,0,0.77,0,584.43,0,39.83,44.43,38.3,0,0,1.53,0,48.26,2.3,0,0,0,0,0.77,0,38.3,0.77,6.89,1.53
120,0,0,0,1.96,0,0,15.68,0,0,7.84,1.96,0,0,1.96,1.96,0,0,0,0,489.95,1.96,31.36,33.32,27.44,0,0,0,0,45.08,0,0,0,0,0,0,0,27.44,0,5.88,0
