stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0
 24-34,0,0.82,2.46,1.64,0,0,0,0,0.82,0,0.82,11.49,0.82,0,0,0,0,0,0.82,1.64,0,0,0
 36-46,0,1.61,0,1.61,0,0,0.81,0,0,0,0,24.98,0,1.61,0,0,0,0,0,1.61,0,0,0
 48-58,0,0,0,5.16,2.87,0,0,0,0,0,0,45.9,0,0.57,0,0,0,0,0,3.44,0,0,0
 60-70,0,0.98,0,8.83,4.91,0,0,0,0,0,0,78.52,0.98,0,0.98,0,1.96,0,0,3.93,0.98,0,0
 72-82,0,0,0.98,19.63,5.89,0,0,0,2.94,0.98,0,73.62,0,0,0,0,0,0,0,2.94,2.94,0,0
 84-94,0,1.06,0,16.99,1.06,2.12,1.06,0,2.12,0,0,36.11,0,0,0,0,0,0,0,2.12,0,1.06,1.06
 96-106,0,0,2.19,14.21,3.28,1.09,0,0,2.19,0,1.09,42.62,1.09,0,0,0,0,0,0,1.09,1.09,0,1.09
108-118,0,0.77,0,18.38,3.83,3.83,0,1.53,2.3,0.77,1.53,45.96,2.3,0.77,0,0,0.77,0,0,0,1.53,0,0
120,0,0,0,29.4,0,0,0,0,3.92,0,0,56.83,0,0,0,0,0,0,0,1.96,1.96,0,0
