stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,14,0,0,0,0,15,0,2,2,1,6,5,0,0
 24-34,0,0,17.24,0,0,4.1,0,0,0,0,0,0,1.64,0,3.28,0,0.82,0,0,13.95,0,0,5.75,27.91,0,0.82,2.46,0,118.2,0,0,7.39,0,0,4.93,1.64,0
 36-46,0,0,1.61,0,0,6.45,0,0,0,1.61,0,0,0.81,0,1.61,0,0.81,0,0,11.28,0.81,1.61,6.45,27.39,0.81,0,0.81,0,89.43,0,0,4.83,0,0,11.28,0,0
 48-58,0,0,1.72,0,0,2.87,0,0,0,0.57,0,0,0,0,1.15,0,0,0,0.57,9.18,0,0,1.15,20.08,0,0,0,0,45.9,0,0,7.46,0,0,4.59,0.57,1.15
 60-70,0,0,0,0,0,8.83,0,0.98,0.98,9.82,0.98,1.96,0,0,1.96,0.98,0,0,0,4.91,0,0,0.98,36.32,0,0.98,0,0,43.19,0,0,7.85,0,0,4.91,0.98,0
 72-82,0,0,3.93,0,0,5.89,0,0,0,21.6,1.96,0.98,0,0,4.91,0,0,0,0,2.94,0,0,0,17.67,0,0.98,0.98,0,40.25,0,0,7.85,0,0,0.98,0.98,0
 84-94,0,0,6.37,0,0,5.31,1.06,1.06,0,11.68,4.25,2.12,0,1.06,5.31,0,0,0,0,2.12,1.06,0,0,11.68,0,0,0,0,131.69,0,0,25.49,0,0,4.25,0,0
 96-106,0,0,9.84,0,0,8.74,0,1.09,0,25.14,6.56,0,0,1.09,14.21,0,1.09,0,0,6.56,3.28,0,0,15.3,0,2.19,0,0,151.91,0,0,7.65,0,0,0,0,0
108-118,0,0,19.15,0,0,4.6,0,6.89,0,46.72,5.36,0,0,0.77,12.26,0,0.77,0.77,0,3.83,4.6,0,0.77,20.68,0,0.77,0.77,0,186.13,0,0,8.43,0,0,1.53,0.77,0.77
120,0,0,33.32,0,1.96,7.84,0,3.92,0,41.16,9.8,0,0,1.96,5.88,0,0,0,0,1.96,5.88,1.96,0,21.56,0,3.92,0,0,217.54,0,0,13.72,0,0,0,0,0
