stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,698.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.69,625.22,0,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.89,0,0,0,23.66,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,199.78,2.63,0,0,65.72,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,15.73,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,169.94,3.15,0,0,53.5,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,5,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,3,57,1,0,0,3,0,1,1,6,0,4,14,0,0,2,0,0
 24-34,0,0,0,0,4.1,0,0,10.67,0,0,2.46,0.82,0,0.82,0,1.64,0,0.82,0,2.46,13.13,0,0,4.93,72.24,1.64,0.82,0,0,0,4.1,0,0,1.64,0.82,15.6,0,0,9.03,0,1.64
 36-46,0,0,0,0,4.83,0,0,10.47,0,0.81,4.03,0.81,0,0,2.42,0.81,0,0.81,0,1.61,9.67,0,0.81,0,51.56,0.81,0,1.61,0,0,5.64,0,0,0,0,10.47,0,0,10.47,0,1.61
 48-58,0,0,0,0.57,5.16,0,0,16.07,1.15,1.15,11.48,0,0,3.44,4.02,0,0,0,1.15,4.02,25.82,0,0,2.87,57.95,0.57,1.15,0.57,0,0,5.16,0,0,0.57,0,16.07,0,0,9.75,0,7.46
 60-70,0,0,0.98,0,4.91,0,0,23.56,1.96,0,13.74,0.98,0,0.98,5.89,0,0.98,0,0.98,3.93,33.37,0,0,3.93,58.89,2.94,0,0.98,0,0,6.87,0,0,1.96,0,11.78,0.98,0,6.87,0,4.91
 72-82,0,0,0,0,7.85,2.94,0,26.5,0.98,2.94,39.27,2.94,0.98,0.98,7.85,1.96,5.89,0,0,0.98,78.53,2.94,2.94,4.91,58.9,0,0.98,0.98,0,0,6.87,0,0,6.87,0,6.87,0,1.96,29.45,0.98,2.94
 84-94,0,0,1.06,0,11.68,0,0,37.17,1.06,2.12,23.36,7.43,0,1.06,15.93,2.12,1.06,3.19,0,6.37,30.8,1.06,0,2.12,39.3,0,0,1.06,0,1.06,21.24,0,0,7.43,0,6.37,1.06,0,18.05,2.12,6.37
 96-106,0,0,0,0,9.84,0,0,25.14,4.37,1.09,19.67,9.84,0,2.19,18.58,4.37,2.19,3.28,1.09,2.19,27.32,4.37,3.28,2.19,39.34,2.19,2.19,3.28,0,0,31.69,0,0,7.65,0,4.37,3.28,2.19,18.58,1.09,5.46
108-118,0,0,0,0,9.19,0.77,0.77,25.28,3.06,1.53,19.15,8.43,0,1.53,9.96,5.36,6.13,0,3.06,6.89,36.77,0,0,2.3,36.77,1.53,0.77,2.3,0,0.77,11.49,0,0,3.83,0,3.06,2.3,0.77,13.02,2.3,8.43
120,0,0,0,0,21.56,1.96,1.96,17.64,5.88,0,25.48,7.84,0,0,17.64,3.92,7.84,0,0,3.92,27.44,1.96,1.96,5.88,41.16,1.96,0,3.92,0,1.96,15.68,0,0,11.76,0,0,1.96,0,5.88,3.92,1.96
