stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature
  7-9,5.26,5.26,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,34.17,5.26,0,0,5.26,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,2,15,4,0,11,0,6,1,0,0,1,1,0,6,0,0,2,116,2,1,0,4,1,2,1,6,42,0
 24-34,0,0.82,1.64,1.64,0,7.39,1.64,2.46,0,0,0,0,0,0,3.28,0,0,1.64,51.71,0,0,0,0,0,0,0,0.82,12.31,0
 36-46,0,0,0,0,0,14.5,0,4.03,0,0,0,0,0.81,0,5.64,0,0,0.81,35.45,0,0,0,0,0,0,0,0.81,8.86,0
 48-58,0,0,0,0,0,10.33,0,0.57,0,0,0,0,0,0,1.72,0,0,0,11.48,0,0,0,0,0,0,0,0,1.15,0
 60-70,0,0,0,0,0.98,14.72,0,1.96,0,0,0,0,0,0,3.93,0,0,0,18.65,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0.98,0,0,2.94,0,1.96,0,0,0.98,0,0,0,2.94,0.98,0,0,12.76,0,0,0,0,0.98,0,0,0,1.96,0
 84-94,0,0,1.06,0,0,7.43,0,4.25,0,0,1.06,0,1.06,0,2.12,0,1.06,1.06,13.81,0,0,0,0,0,0,0,0,1.06,4.25
 96-106,0,0,0,0,0,5.46,0,4.37,0,0,1.09,0,0,0,1.09,0,0,0,12.02,0,1.09,0,0,1.09,0,0,0,0,0
108-118,0,0.77,2.3,0.77,1.53,6.89,0.77,6.89,1.53,0,3.83,0.77,0,0.77,8.43,0,0,2.3,30.64,0,0.77,1.53,0,0,0,0,0,0,3.83
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0
