stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,1.64,27.91,0,0,0.82,0,0,0,0,0,0,0.82,0,1.64,0,0,0.82,22.16,1.64,0.82,0,0,0,0,0,0,2.46,0,0,0.82,0,0
 36-46,0,0,0,0,0,4.83,89.43,0,0,1.61,0,0.81,0.81,0.81,0,0,0,0,7.25,0,0,2.42,41.09,0,0.81,0,0,2.42,0,0.81,1.61,6.45,0,0,0,0,0
 48-58,0,0,1.72,1.15,0,59.1,124.52,0.57,0.57,13.77,0.57,0,0,0,0,0,0,0,22.95,1.15,0.57,9.18,157.8,1.72,0.57,0,0,4.59,0,0,4.59,39.59,0,0,1.15,0,4.59
 60-70,0,0.98,2.94,0.98,0,80.48,88.34,2.94,3.93,8.83,0,0,2.94,0,0,1.96,0,0.98,33.37,0.98,3.93,7.85,156.06,0.98,0,0,0,8.83,0,0,7.85,25.52,0,1.96,0,0,0.98
 72-82,0,0,10.8,6.87,0,90.31,51.05,2.94,3.93,21.6,0,1.96,4.91,0.98,2.94,1.96,3.93,0,58.9,0.98,6.87,12.76,177.68,0.98,4.91,3.93,0.98,14.72,0,0.98,7.85,13.74,0.98,2.94,8.83,2.94,5.89
 84-94,0,0,19.12,16.99,0,84.96,100.89,8.5,2.12,16.99,7.43,1.06,6.37,2.12,2.12,2.12,2.12,1.06,75.4,2.12,4.25,9.56,151.87,3.19,1.06,1.06,0,33.99,0,1.06,6.37,10.62,0,5.31,8.5,2.12,6.37
 96-106,0,4.37,43.71,60.11,1.09,177.04,259,9.84,7.65,68.85,14.21,9.84,20.76,10.93,6.56,5.46,18.58,0,172.67,4.37,6.56,37.16,348.62,6.56,7.65,14.21,4.37,86.33,1.09,1.09,24.04,22.95,5.46,6.56,18.58,4.37,13.11
108-118,0,0.77,43.66,19.92,6.13,180.77,199.15,9.19,8.43,49.02,6.89,1.53,7.66,5.36,8.43,3.83,9.19,3.06,136.34,1.53,3.83,34.47,327.83,0.77,5.36,6.13,3.06,51.32,0,0.77,17.62,9.19,3.83,4.6,14.55,5.36,6.89
120,0,0,11.76,15.68,1.96,68.59,127.39,3.92,5.88,35.28,0,0,13.72,3.92,7.84,0,7.84,1.96,86.23,1.96,1.96,15.68,174.42,1.96,1.96,1.96,1.96,25.48,0,1.96,5.88,1.96,0,3.92,5.88,0,7.84
