stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,2,1,0,3,0,0,0,1,1,0,0,0,0,0,0,1,3,0,1,49,12,1,0,3,0,0,8,0,2,7,22,0,0,2,0,0
 24-34,0,0,2.46,0,4.93,0,0,5.75,0,0,1.64,1.64,0.82,0,0.82,0,0,0,0,1.64,7.39,0,0,98.5,0.82,2.46,0,0,0,1.64,0,1.64,0,4.1,41.04,0,0,45.97,0,0
 36-46,0,0,0.81,0,0,0,0,8.06,0,0,0.81,10.47,0,0,5.64,0,2.42,0,1.61,0,8.86,0,3.22,186.11,1.61,0,0.81,0,0,0.81,0,1.61,0,0,76.54,0,0,45.92,0,0
 48-58,0.57,0,0,0,0.57,1.15,0,15.49,0,0,1.15,43.04,0,0.57,8.61,0,1.15,0,0.57,0.57,26.4,0,1.15,193.37,0.57,1.15,2.87,0,0,0,0,5.16,0,0,56.81,0,0,36.15,0,0
 60-70,0,0,0,0,0,0,0,41.22,0,0,2.94,97.17,0,0.98,14.72,0,8.83,0,0.98,0,32.39,0,2.94,373.96,0,0.98,0.98,0,0,3.93,0,2.94,0,0,73.61,0,0,27.48,0,0
 72-82,0,0,0,0,2.94,0.98,0,88.35,0,0,2.94,228.73,0,0.98,27.49,0,17.67,1.96,0,0,59.88,0,3.93,524.21,0,0,1.96,0,0.98,0,0,4.91,0,0,65.77,0,0,77.55,0,0
 84-94,0,0,2.12,0,0,1.06,0,70.09,0,1.06,3.19,161.43,0,0,39.3,0,13.81,0,1.06,0,59.47,2.12,2.12,315.43,0,0,2.12,0,0,7.43,0,0,0,0,37.17,1.06,0,52.04,0,0
 96-106,0,0,1.09,0,5.46,3.28,0,74.31,0,1.09,1.09,225.13,1.09,0,42.62,0,6.56,0,3.28,0,37.16,1.09,0,323.48,0,0,1.09,0,2.19,2.19,0,1.09,1.09,0,22.95,0,1.09,57.92,1.09,0
108-118,0,0,2.3,0,6.13,2.3,0.77,62.81,1.53,0,4.6,176.94,3.83,0.77,29.11,1.53,8.43,0,1.53,0,29.87,0.77,4.6,344.68,0,0,0.77,0,0.77,4.6,0,0.77,0,0,18.38,0.77,1.53,46.72,1.53,1.53
120,1.96,0,1.96,0,9.8,5.88,0,90.15,0,0,1.96,201.86,0,0,50.95,0,7.84,1.96,1.96,0,17.64,1.96,1.96,448.79,1.96,0,0,0,0,5.88,0,1.96,1.96,0,33.32,0,0,41.16,0,0
