stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,11,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0.82,0,0,0,256.11,0,0.82,0,0,0,0.82,0,0,52.53,0,0,0,0,0
 36-46,0,0,0,0,13.7,0,0.81,0,0,0,0,0.81,0,0,0,0,0,0.81,0,0,0,887.85,0,1.61,0,0,0,0,0,0,114.41,0,0,0,0,0
 48-58,0,1.72,0,0,91.23,0.57,0,0.57,7.46,0,0.57,0,0,0.57,0,0,1.72,3.44,0,0,1.72,1352.46,0,2.87,0,0,0,1.15,0,0,171.57,0,0.57,0,0,0
 60-70,0,2.94,0,0,361.2,0,0,0.98,14.72,0,0.98,0,0,0.98,0,0.98,0,11.78,0.98,0,0.98,2162.29,0,1.96,0.98,0,0,0,0.98,0,255.2,0,0,1.96,0,2.94
 72-82,0,10.8,1.96,0,580.16,0.98,0.98,2.94,38.28,0,0.98,0.98,0,0.98,0,0.98,0,18.65,0,0.98,1.96,2125.3,0.98,9.82,1.96,0,0.98,1.96,0,0,165.9,0,0,0,0,2.94
 84-94,0,23.36,3.19,0,395.08,1.06,0,0,41.42,0,0,2.12,0,3.19,0,0,0,26.55,0,3.19,2.12,1130.01,0,4.25,1.06,0,0,1.06,0,0,96.65,1.06,3.19,1.06,1.06,0
 96-106,0,17.49,5.46,0,377.03,0,1.09,3.28,41.53,0,1.09,3.28,1.09,2.19,0,3.28,1.09,18.58,0,0,0,968.26,2.19,12.02,3.28,0,0,3.28,0,0,39.34,2.19,0,5.46,0,3.28
108-118,0,10.72,1.53,0,268.85,0,0,0,19.92,0.77,0,0.77,0,0,0.77,0.77,0,6.89,0,0.77,0.77,1073.11,0,8.43,0.77,0,0,2.3,0,0.77,26.81,1.53,0.77,0.77,0.77,0.77
120,1.96,11.76,1.96,1.96,250.85,0,3.92,0,29.4,0,0,0,0,1.96,0,1.96,0,19.6,0,1.96,5.88,1342.45,0,11.76,1.96,0,0,3.92,0,1.96,41.16,0,1.96,1.96,0,0
