stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,26.36,500.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,606.83,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,18.39,0,0,0,0,0
  7-9,18.4,7.89,23.66,0,0,26.29,0,0,2.63,0,0,0,0,0,0,231.33,7.89,0,0,73.6,0,0,0,0,0,0
 10-12,0,18.88,15.73,0,0,9.44,0,0,9.44,0,0,0,0,0,0,273.79,9.44,0,0,91.26,9.44,0,15.73,0,0,0
 14-21,0,0,0,7,1,3,0,0,0,0,1,0,3,0,2,14,0,0,1,1,0,3,0,3,6,0
 24-34,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0.82,9.85,0,0,0,0,0,0,0,1.64,2.46,1.64
 36-46,0,0,0,1.61,0,2.42,0.81,0,0,0,0,0,0,0,0,5.64,0,0,0,0,0.81,0,0,0,0.81,0
 48-58,0,0,0,0,0,2.3,0,1.15,0,0,0,0,1.15,0,0,6.89,0,0.57,0.57,0,1.15,0,0,0,1.15,0
 60-70,0,0,0,0,0,2.94,0,0,0,0,0,0,5.89,0,0,13.74,0,0,0.98,0,1.96,0,0,0,0.98,0
 72-82,0,0,0,0.98,0,5.89,0,0.98,0,0.98,0,0.98,1.96,0,0.98,5.89,0,0,0.98,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,4.25,0,1.06,0,1.06,1.06,0,1.06,0,0,3.19,0,0,0,0,1.06,0,1.06,0,1.06,0
 96-106,0,0,0,2.19,1.09,3.28,0,2.19,0,3.28,0,0,2.19,0,0,4.37,0,1.09,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,1.53,0,0.77,1.53,0.77,0,6.13,0,0,0,0,0,0,0,0,0,0.77
120,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0
