stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,1,0,0
 24-34,0,0,1.64,0,0,0.82,0,0,0,0,0.82,0,0,0,0,0.82,0,53.36,0,0.82,0,0,0,0.82,15.6,0,0,4.1,0,0
 36-46,0,0.81,0,0,0,2.42,0,0.81,0,0,0,0,0,0,0,1.61,0,95.07,0,1.61,0.81,0,0,0,20.14,0,0,0.81,0,0
 48-58,0,0,1.15,0,0,13.2,0,0,0,3.44,0,0,0,0,0,2.87,0,123.94,0,0.57,0.57,0,0,0,15.49,0,0.57,0.57,0,0
 60-70,0,0,0.98,0,0,19.63,0,0,0.98,3.93,0,0,0,0,0,3.93,0.98,347.46,0.98,0,0,0,0,0,38.28,0,0,0,0,0
 72-82,0,0,4.91,1.96,0,30.43,0,0.98,0.98,9.82,0,0,0,0,0,9.82,1.96,386.77,0,2.94,0.98,0,0,0,13.74,0,0,0.98,0.98,0.98
 84-94,0,0,4.25,2.12,0,35.05,1.06,0,2.12,3.19,0,3.19,1.06,1.06,0,8.5,2.12,204.97,0,4.25,1.06,0,0,1.06,15.93,0,1.06,0,2.12,0
 96-106,0,1.09,1.09,1.09,1.09,29.51,1.09,0,0,13.11,0,0,0,1.09,1.09,7.65,3.28,224.03,0,5.46,0,0,0,2.19,9.84,1.09,0,1.09,1.09,1.09
108-118,0,0,6.13,1.53,0.77,23.74,0,0,0,11.49,0.77,0,0,0,0,6.89,0,215.24,0,1.53,0,0,0.77,0,3.06,0,0,3.06,0.77,0
120,0,0,0,0,0,31.36,1.96,0,1.96,13.72,0,0,0,0,0,7.84,0,260.65,1.96,1.96,0,0,0,0,9.8,0,1.96,0,0,0
