stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0.82,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0.57,0.57,0,0,0,0,0.57,0,0,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,2.94,0,0,0,0.98,0,7.85,2.94,0,0,2.94,0,0.98,0,0,0,2.94
 84-94,0,0,0,1.06,0,0,0,1.06,0,29.74,0,0,0,0,1.06,0,0,0,0,1.06
 96-106,0,0,0,3.28,0,0,1.09,0,2.19,192.34,3.28,1.09,0,22.95,1.09,0,0,2.19,1.09,1.09
108-118,2.3,0,0.77,1.53,0.77,1.53,0,1.53,0,585.96,1.53,0,1.53,22.21,0.77,0,0,0.77,0.77,8.43
120,3.92,1.96,0,1.96,0,0,0,0,0,356.68,0,0,0,7.84,0,0,0,0,0,1.96
