stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,hatching.gland,immune,iridophores,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,visceral.smooth.muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,0,0,2.63,0,0,0,28.92,0,28.92,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,18.88,0,9.44,0,3.15,3.15,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,11.28,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,21.23,0,0,0,0,0,1.72,0
 60-70,0,0,0,0,0,2.94,0.98,0,0,0,0,0,0,80.48,0.98,0,0,0,0,3.93,0
 72-82,0,0,0,0,0,3.93,0,0,4.91,0,0,0,1.96,107.98,0,0,0,0.98,0,5.89,0
 84-94,0,0,0,1.06,1.06,9.56,0,0,2.12,0,0,0,2.12,61.6,0,0,0,0,0,3.19,0
 96-106,0,0,0,0,0,5.46,0,0,3.28,0,0,0,0,67.76,0,0,1.09,0,0,3.28,1.09
108-118,0,0,0,0.77,0,6.13,0,0,2.3,0,0.77,0.77,0.77,81.19,0,0,0,0,0,3.83,0
120,0,0,0,0,0,0,1.96,1.96,1.96,0,0,0,1.96,109.75,0,0,0,0,0,5.88,0
