stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,39.43,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,18.88,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,2,18,0,0,4,0,0,0,4,3,0,1,0,0,0,0,8,0,4,48,1,0,1,0,0,1,4,1,5,32,0,1,0,0
 24-34,0,0.82,4.93,0.82,0,4.93,0,0.82,0,4.93,0,0,0,0,0.82,0,0,7.39,0,0.82,72.24,0,0,0,0,0,5.75,0,0,2.46,31.19,0,0.82,0,0
 36-46,0,0,3.22,0,0,3.22,0,0.81,0,4.83,0.81,0,0,0,0,0,0.81,4.03,0.81,0,53.98,0,0,0.81,0,0,0.81,0,0.81,0,20.14,0,0,0,0
 48-58,0,0,2.87,0,0,2.87,0,0,0,6.31,0,0,0,0,0,0,0,6.89,0,1.15,16.64,0.57,1.15,0.57,0,0,0.57,0,0,0,14.92,0,0,0,0
 60-70,0,0,1.96,0,0,0.98,0,0.98,0.98,9.82,0,0,0,0,0,0,0,4.91,1.96,0.98,7.85,0,0,0.98,0,0,0,0,0.98,0,5.89,0,0.98,0,0
 72-82,0,0,2.94,0,0,12.76,0,0,0,17.67,0,0,0,0,0,0,0,14.72,0.98,0.98,19.63,0.98,0,0.98,0,0.98,0.98,0,0,0,3.93,0.98,1.96,0,0
 84-94,0,0,0,0,0,6.37,0,0,0,13.81,0,0,0,0,0,0,0,9.56,0,0,6.37,1.06,0,0,0,0,3.19,0,1.06,0,0,0,0,0,0
 96-106,0,0,2.19,0,0,12.02,0,2.19,2.19,9.84,0,0,0,1.09,3.28,0,0,10.93,1.09,2.19,4.37,1.09,0,3.28,0,0,4.37,0,0,0,5.46,0,2.19,1.09,1.09
108-118,0,0,5.36,0.77,0.77,6.13,0.77,0.77,0,10.72,0.77,0,0,0,1.53,0.77,0,13.79,0,1.53,13.02,1.53,0,2.3,0,0.77,3.83,0,0,0,2.3,0,0,0.77,0.77
120,0,1.96,1.96,0,0,5.88,0,0,0,9.8,0,0,0,0,1.96,0,0,7.84,0,0,9.8,1.96,1.96,0,0,0,0,0,0,0,5.88,0,1.96,0,0
