stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,3.15,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,0,0
 24-34,0,0,2.46,0,0.82,0,0,0,0,0,0,4.1,0.82,0,0,0.82,8.21,0,0.82,1.64,0,37.76,0,4.1,0
 36-46,0,0,0,0,0,0,0.81,0,0,0.81,0,1.61,0,0,0.81,0,9.67,0,2.42,0,0,20.95,0.81,0,0
 48-58,0,0,0,0,0,0,0,0.57,0.57,0,0,1.72,0.57,0,0,0.57,6.31,0,0,1.15,0,6.31,0.57,1.15,0
 60-70,0,0.98,0,0,0.98,0,0.98,0,0.98,0,0,0,0,0,0,0.98,3.93,0,0.98,1.96,0,17.67,0.98,1.96,0.98
 72-82,0,0,1.96,0,2.94,0,0.98,0,0,0,0,2.94,0,0,1.96,2.94,4.91,0,0,1.96,0,13.74,0,0,0.98
 84-94,0,1.06,3.19,1.06,1.06,1.06,0,5.31,1.06,0,0,4.25,0,2.12,1.06,1.06,2.12,0,0,0,0,38.23,0,0,2.12
 96-106,0,0,4.37,0,1.09,1.09,0,4.37,0,0,1.09,5.46,2.19,0,2.19,1.09,4.37,0,0,1.09,0,25.14,0,0,1.09
108-118,0,0,7.66,0,0,0,0.77,1.53,0,0,0,2.3,1.53,0.77,0,0.77,5.36,0.77,0,0.77,0,16.85,0,0,0
120,0,0,13.72,0,1.96,1.96,0,0,0,0,0,5.88,1.96,0,0,1.96,3.92,0,0,5.88,0,21.56,1.96,0,1.96
