stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,5.26,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,36,6,0,0,0,1,1,1,38,0,0,1,0,0
 24-34,0,3.28,0,0,0,5.75,0,0,0,0.82,0,0,0,0,0,0,0,0,215.06,36.12,1.64,0,0,0.82,0,0,90.29,0,0,8.21,0,0
 36-46,0,0,0,0,0,29.81,0,0,0,4.03,0,0.81,0,0,0,1.61,0,0.81,428.62,39.48,0,0,0,0,0,0,93.46,0,0,1.61,0,0
 48-58,0,0.57,0,2.3,0,59.1,0,0.57,0,11.48,0,0,0,0,0.57,1.15,0,1.15,452.16,22.38,0,0,0,0,0,0,67.14,0,0,0,0,0
 60-70,0,1.96,0,2.94,0,161.95,0,0,0.98,11.78,0,0,0,0,0,3.93,0,0,614.43,20.61,0.98,0,0.98,0,0,0,56.93,0,0.98,0,0,0.98
 72-82,0,7.85,0,6.87,0,256.21,0,0,0.98,17.67,0.98,0.98,0,0.98,0.98,4.91,0,0,537.95,32.39,0,0,0,0,0,0,25.52,0.98,0.98,0,0,2.94
 84-94,0,5.31,0,5.31,0,162.49,0,0,0,13.81,5.31,0,1.06,1.06,0,5.31,1.06,1.06,289.94,14.87,1.06,0,0,1.06,0,0,18.05,1.06,0,1.06,2.12,0
 96-106,0,1.09,0,8.74,0,153,0,0,0,7.65,2.19,0,5.46,0,0,2.19,0,1.09,204.36,21.86,2.19,0,0,0,0,0,10.93,0,0,0,0,0
108-118,0,2.3,0,3.83,0.77,115.66,0.77,0,0,12.26,0,0,0.77,0,0.77,0.77,0,0,201.45,15.32,0.77,0,0,0,0,0,2.3,2.3,0,0,0.77,0
120,0,1.96,0,1.96,0,113.67,0,0,0,13.72,1.96,0,1.96,0,0,3.92,0,0,235.17,11.76,0,0,0,1.96,0,0,5.88,1.96,0,0,0,0
