stage,axial,blastomeres,endocrine_pancreas,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0
 24-34,0,0,0,0,0,1.64,0,0,0,0,0,0,0.82,0,0.82,0,9.85,0,0,0.82,0.82,0,0.82,0,0
 36-46,0,0,0,0,0,4.03,0,0,0,0,0,0,0,0,4.03,0.81,25.78,0,0,1.61,0.81,0,0,0,0
 48-58,0,0,0,0,0,1.72,0,0,2.87,0,0,0,0,0,5.16,0,8.61,0,0,1.72,1.72,0,0,0,0
 60-70,0,0,0,0,0,1.96,0,0,1.96,0.98,0,0,0,0,10.8,1.96,11.78,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,1.96,0,0.98,0,0.98,3.93,0,0.98,0.98,0.98,0,27.49,0,12.76,0,0.98,1.96,0,0,0,0,0
 84-94,0,0,0,2.12,0,4.25,2.12,0,4.25,0,0,2.12,0,0,8.5,0,7.43,0,1.06,0,0,0,0,1.06,0
 96-106,0,0,0,2.19,0,0,0,0,3.28,0,0,1.09,1.09,0,10.93,1.09,2.19,1.09,0,0,0,1.09,0,1.09,1.09
108-118,0,0,0.77,2.3,0.77,4.6,0,0,6.89,1.53,0,3.83,0,0,9.96,0.77,6.13,0.77,0.77,1.53,0.77,0,0.77,0.77,0
120,0,0,0,0,0,0,0,0,1.96,0,0,1.96,1.96,1.96,7.84,0,1.96,0,0,1.96,0,0,0,0,0
