stage,epidermis,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0
 24-34,1.64,0.82,0,0,0.82,0,0,0,0,1.64,0,11.49,0,0,0,0,3.28,0,0,4.93,0,1.64,0
 36-46,0,1.61,0,0,0,0,0,0,0,0.81,0.81,10.47,0,0.81,1.61,0,0.81,0.81,0,2.42,0,0.81,0
 48-58,0.57,4.02,0,1.15,0,0,0,0,0.57,0.57,1.72,10.9,0.57,0,0,0,0.57,0,0,1.72,0,0,0
 60-70,0.98,1.96,0,0.98,0.98,0.98,0,0,0,2.94,0,7.85,0,0,0,0,3.93,0,0,0.98,0,1.96,0
 72-82,1.96,7.85,0,0,0,0,0,0,0,5.89,0.98,10.8,0,0.98,0.98,0,1.96,0.98,0,0.98,0.98,0,0
 84-94,1.06,1.06,0,1.06,0,0,0,0,0,0,0,2.12,0,0,0,0,10.62,0,0,1.06,0,0,0
 96-106,1.09,0,0,0,0,0,0,2.19,0,0,1.09,6.56,0,0,1.09,0,7.65,0,0,0,0,0,0
108-118,1.53,2.3,0.77,0,0.77,0,0.77,0.77,0.77,2.3,0,1.53,0,0.77,0,0,6.13,0.77,0,0,0,0,0.77
120,1.96,3.92,0,0,0,0,0,1.96,0,0,0,5.88,0,0,0,0,0,1.96,0,0,0,0,0
