stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,378,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,6,6,0,0,0
 24-34,0,0.82,903.76,5.75,0,0,0,0,0,0,0.82,0.82,0,0,0,0,6.57,0,3.28,56.64,0,0,0,0,3.28,0,0,0,1.64,14.78,3.28,0,0
 36-46,0,0,581.69,4.83,0,0,0,0,0,0,0.81,0,0,0,0,0,2.42,0,3.22,29.81,0,0,0,0,0.81,0,0,0,0,4.83,0.81,0,0.81
 48-58,0,0.57,914.07,20.66,0,0,0.57,6.31,0,0.57,0,0,0,0,0.57,0,8.03,0,1.72,35.58,0,0,0,0,1.15,0,0,0,0,8.03,2.87,0,1.72
 60-70,0,1.96,969.74,26.5,0,0,0,1.96,0,0,1.96,0,0,0,0,0,3.93,0.98,0,36.32,0,0,0,0.98,0.98,0,0,0,0,3.93,1.96,0,0
 72-82,0,0,806.93,13.74,0.98,0,1.96,1.96,0.98,0,0,1.96,0,0.98,0,0.98,3.93,0,1.96,31.41,0,0.98,0,0.98,0.98,0,0,0,0,1.96,1.96,0,1.96
 84-94,0,0,638.28,9.56,2.12,0,2.12,6.37,3.19,0,2.12,1.06,2.12,0,1.06,1.06,3.19,1.06,0,18.05,0,1.06,0,0,2.12,0,1.06,0,0,2.12,0,1.06,1.06
 96-106,0,1.09,643.69,2.19,2.19,0,1.09,3.28,0,2.19,1.09,0,0,0,1.09,0,5.46,0,2.19,26.23,1.09,0,0,0,6.56,0,0,0,0,0,4.37,0,0
108-118,0.77,1.53,445.79,4.6,0,0.77,0.77,1.53,0.77,0,2.3,0.77,0.77,0.77,0,0,3.83,0,0,15.32,0.77,0,0,0,2.3,0,0,0,0,0.77,4.6,0.77,0
120,0,0,511.5,1.96,0,1.96,0,0,0,0,0,1.96,1.96,0,1.96,0,5.88,0,0,15.68,0,1.96,0,0,0,0,0,0,0,0,0,0,0
