stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,94.41,0,0,0,6.29,0,12.59,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,19,27,4,0,0,0,0,0,0,8,9,0,0,104,0,2,0,0,3,14,0,1,7,0,20,28,0,0,61,1,2,11,2,0,0,1,0,0
 24-34,0,0,6.57,4.1,6.57,0,0,1.64,0,5.75,0,0,2.46,0.82,0,0.82,118.2,0,20.52,1.64,0.82,2.46,20.52,0,0,53.36,0.82,77.98,69.77,0,0,115.74,0,0,22.98,3.28,0,0,10.67,0,0
 36-46,0,0,1.61,1.61,6.45,0,0,0.81,0,3.22,0,8.86,6.45,0,0.81,0,44.31,0.81,14.5,5.64,0,0,8.86,0,0,58.01,0,60.43,41.89,0,0,89.43,0,0,13.7,4.03,0,0,0,0,0
 48-58,0,0,0.57,2.3,13.2,0,0,16.64,0,1.15,0,39.59,10.9,5.16,0,0.57,33.28,2.87,15.49,9.18,0,4.59,10.33,0,0.57,58.53,0,41.31,40.74,0,0,99.27,0,0,5.74,2.87,0,0,1.15,0,0
 60-70,0,0,2.94,0,25.52,0,0.98,21.59,0,0.98,0.98,84.41,30.43,2.94,0,0,35.33,9.82,19.63,13.74,0,6.87,9.82,0,1.96,63.8,0,51.04,31.41,0,0,96.19,0,0,9.82,7.85,3.93,0,0.98,0,0
 72-82,0,0,12.76,2.94,39.27,1.96,2.94,20.61,0,1.96,0,225.78,105.04,3.93,0,4.91,71.66,15.71,42.21,13.74,0,21.6,21.6,0.98,0.98,97.18,0,76.57,75.59,0,0,141.36,0,0,11.78,3.93,25.52,0,0,1.96,0
 84-94,0,0,8.5,6.37,74.34,0,9.56,22.3,0,6.37,2.12,169.93,155.06,5.31,0,1.06,107.27,3.19,53.1,36.11,0,15.93,22.3,3.19,1.06,62.66,0,75.4,76.47,0,1.06,348.35,0,0,20.18,5.31,86.03,0,3.19,0,0
 96-106,0,0,18.58,12.02,120.21,2.19,9.84,28.41,0,3.28,0,220.76,169.39,1.09,0,10.93,104.91,4.37,77.59,49.18,1.09,16.39,21.86,1.09,1.09,95.08,0,135.51,91.8,0,0,386.87,0,0,18.58,2.19,120.21,0,1.09,1.09,1.09
108-118,0,0,7.66,11.49,90.38,1.53,14.55,14.55,0.77,7.66,0,190.72,164.68,0,0.77,6.89,83.49,6.89,56.68,45.96,0,12.26,22.21,0,0,51.32,0,89.62,68.94,0,0,231.32,0,0,13.02,1.53,146.3,0.77,2.3,0,0.77
120,1.96,0,5.88,3.92,84.27,1.96,1.96,13.72,1.96,7.84,1.96,172.46,90.15,0,0,3.92,37.24,1.96,29.4,25.48,0,13.72,15.68,0,3.92,41.16,0,45.08,56.83,0,0,192.06,0,0,3.92,0,43.12,0,3.92,0,0
