stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.73,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,34.62,0,0,28.32,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,10,0,0,1,0,0,1,0,0,0,1,0,0,0,8,0,0,5,30,0,0,0,0,16,0,2,12,9,0,0,0
 24-34,0,0,0,0,0,0,0,1.64,0,0,0,0,0.82,0,0,0,0,0.82,1.64,0.82,0,1.64,48.43,1.64,0,0,1.64,0,0,0,11.49,9.85,0,0,1.64
 36-46,0,0,0,0,0,0,0,7.25,0,2.42,0,0,0,0,0.81,0,0,0.81,5.64,0.81,0,0,33.03,1.61,0,0,0,0,0.81,0,0,11.28,0,0.81,0
 48-58,0,0,0,0,0.57,0,0,9.75,0,1.15,0,0,0,0,0,1.15,0,0,4.02,0,0.57,0.57,10.9,1.15,0.57,0,0,0,0,0,0,5.74,0,0,1.15
 60-70,0,0,0,0,1.96,0.98,0,6.87,0,0,0,0,0,0,0,0,0.98,0,2.94,0,0,0,16.69,0,0,0,0.98,0,0,0,0,0.98,0.98,0,0
 72-82,0,0,0.98,0,0,0,0,6.87,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0.98,0,18.65,0.98,0,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,1.06,0,0,0,0,7.43,0,0,0,0,0,1.06,0,0,0,0,2.12,0,0,0,8.5,0,0,0,0,0,0,0,0,3.19,0,0,0
 96-106,0,0,0,0,2.19,0,0,3.28,0,0,1.09,0,0,1.09,2.19,0,0,0,3.28,0,0,0,15.3,0,0,0,1.09,0,0,0,0,0,0,1.09,0
108-118,0,0,0.77,0,0.77,0,0,9.96,0.77,0,0,0,0,0,0,0.77,0,0,3.83,0,0,0.77,8.43,0,0,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,1.96,3.92,5.88,0,1.96,1.96,0,0,0,0,0,0,0,1.96,0,1.96,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0
