stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,448.05,4006.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0
  5-6,288.09,2476.37,6.13,0,0,0,0,0,12.26,0,0,0,0,0,0,367.78,0,85.81,24.52,0,0,0,0,0,0,0
  7-9,0,34.17,70.98,0,0,5.26,0,0,15.77,0,0,0,0,0,0,113.03,7.89,533.63,0,15.77,0,5.26,0,0,0,0
 10-12,0,44.06,28.32,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,3.15,59.79,0,3.15,0,122.73,0,0,0,0
 14-21,0,0,0,2,623,1,0,0,0,2,4,0,0,8,2,13,0,2,1,0,3,2,2,3,0,8
 24-34,0,0,0,1.64,407.97,1.64,1.64,0,0,3.28,0,0,0,1.64,1.64,22.98,0.82,0,0.82,0,0,0,1.64,2.46,0,12.31
 36-46,0,0,0,0,37.06,2.42,0,0,0,0.81,0,0,0.81,0,0,5.64,0,0,0,0,0,0,0,1.61,0,3.22
 48-58,0,0,0,0,40.74,3.44,0,0,0,0,0,0,0,0,0,4.59,0,0,0,0,0,0,0,0.57,0,5.74
 60-70,0,0,0,0,25.52,0.98,0,0.98,0,0,0,0,0,0.98,0,3.93,0,0,0,0,0,0,0,0,0,1.96
 72-82,0,0,0,0,104.06,4.91,0,0,0,1.96,0.98,0,0,1.96,0,7.85,0,0,0,0,0,0,0,0,0,5.89
 84-94,0,0,0,0,99.83,1.06,0,0,0,0,0,0,0,2.12,0,2.12,0,0,0,0,0,0,0,0,0,5.31
 96-106,0,0,0,1.09,167.21,4.37,0,1.09,0,1.09,1.09,1.09,2.19,6.56,0,8.74,0,0,1.09,0,0,0,0,0,1.09,4.37
108-118,0,0,0,0.77,157.02,3.06,0.77,0.77,0,0,3.06,0,0,3.83,0,6.13,0,0,0,0,0,0,0,0,0,6.13
120,0,0,0,0,129.35,0,0,0,0,0,1.96,0,0,9.8,0,1.96,0,0,0,0,0,0,0,0,0,1.96
