stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,566.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,545.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,10.51,0,26.29,0,0,0,26.29,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,283.9,5.26,0,0,120.92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,12.59,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,198.26,9.44,0,0,69.23,0,0,3.15,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,2,2,30,7,0,12,0,0,7,0,0,1,0,0,0,0,0,1,22,0,0,13,277,4,1,1,7,0,5,30,2,1,41,99,0,0,5,0,0
 24-34,0,0,0,0.82,4.1,0.82,0,15.6,0,1.64,4.1,0.82,0,0.82,0,0,0,0,0,0,18.06,0,0,9.85,191.26,0.82,1.64,0.82,0.82,0,6.57,0,0.82,0,4.93,50.07,0,0,4.1,0,1.64
 36-46,0,0,0,0,0,0,0,46.73,0,0.81,10.47,0.81,0,0,0,0,0,0,0,0,24.98,0,0.81,9.67,282.79,0,0.81,0,0,0,2.42,0,0.81,0.81,0,68.48,0,0.81,1.61,0,0
 48-58,0,0,0,0,2.3,0.57,0,43.04,0,1.72,11.48,0,0,1.15,0,0.57,0,0.57,0,0.57,28.12,0,0.57,4.02,118.2,0.57,0.57,0,0,0,1.72,0,0,0,0,19.51,0,0.57,3.44,0,0
 60-70,0,0,0.98,0,1.96,0,0,57.91,0,0,17.67,0,0,0,0,0,0,0,0.98,0.98,36.32,0.98,0.98,3.93,151.15,0.98,0,0,0,0,4.91,0,0.98,0,0,26.5,0,0,0.98,0,0
 72-82,0,0,0,0,4.91,0,0,47.12,0,0.98,12.76,0,0,1.96,1.96,0,0,1.96,0,0,37.3,0,2.94,5.89,110.93,0,0.98,2.94,0,0.98,3.93,0,0,0,0,7.85,0,0.98,2.94,3.93,0
 84-94,0,0,0,0,10.62,0,0,32.92,1.06,2.12,15.93,1.06,0,1.06,0,3.19,0,0,1.06,0,21.24,0,1.06,3.19,55.23,1.06,2.12,2.12,0,0,9.56,0,0,0,0,6.37,0,0,1.06,2.12,3.19
 96-106,0,0,0,0,9.84,0,1.09,26.23,0,1.09,20.76,1.09,0,3.28,0,0,1.09,0,1.09,0,19.67,0,0,4.37,53.55,3.28,1.09,1.09,0,0,2.19,0,0,0,0,4.37,0,0,1.09,1.09,0
108-118,0,0,0,0,3.83,0,0,32.94,0.77,2.3,12.26,1.53,0,0.77,0,0.77,0,0,0,0,27.57,0.77,1.53,4.6,81.19,0,2.3,3.06,0,0.77,3.06,0,0,0,0,3.83,0.77,0,2.3,0,0
120,0,0,0,0,5.88,0,0,23.52,0,0,9.8,1.96,0,0,1.96,0,3.92,1.96,0,0,9.8,0,0,5.88,78.39,1.96,0,0,0,0,3.92,0,1.96,0,0,1.96,0,0,3.92,1.96,1.96
