stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,0,12,0,0,0,0,28,0,11,5,2,0,0,1,0,0,1,0,4,3,1,0,0,0,0,0
 24-34,0,0,0,0,0.82,0.82,0,1.64,0,0,2.46,0,12.31,0,0,0,0,41.04,0,6.57,59.92,0,4.1,0,0,0,0,0,2.46,0,0,4.93,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,2.42,0,7.25,3.22,0,6.45,0,0,0,0,73.32,0.81,5.64,124.88,0,12.89,0.81,0,0,0.81,0,0,0,0,16.92,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,18.36,0.57,13.77,4.02,0,3.44,0,0,0,0,142.3,0,7.46,222.64,0,9.75,0.57,0,0,1.15,0,0.57,0,0,29.84,0,0.57,1.15,0,0.57
 60-70,0,0,0.98,0,1.96,0,0,25.52,0.98,18.65,3.93,0,1.96,0,0.98,0,0,262.07,4.91,7.85,387.7,0,9.82,0,0,2.94,0.98,0,0.98,0,0,24.54,0,1.96,0.98,2.94,0
 72-82,0,0,0,0,5.89,1.96,0,77.55,0,12.76,12.76,1.96,2.94,0,0,0,0,395.61,6.87,11.78,507.52,0,24.54,0,0,6.87,0,0,0,0,0,29.45,0.98,9.82,0,5.89,0.98
 84-94,0,0,0,0,4.25,0,0,59.47,2.12,20.18,13.81,0,4.25,1.06,1.06,1.06,0,210.28,4.25,12.74,243.21,1.06,6.37,1.06,0,1.06,1.06,0,0,0,0,16.99,1.06,6.37,0,3.19,0
 96-106,0,0,0,0,2.19,1.09,0,48.09,0,18.58,13.11,0,1.09,2.19,1.09,2.19,1.09,230.59,3.28,3.28,209.83,0,24.04,0,0,5.46,3.28,0,0,0,0,2.19,0,6.56,1.09,9.84,0
108-118,0,0,0,0,3.83,0.77,0.77,34.47,0.77,11.49,11.49,0,3.83,0.77,0,0,0,212.17,2.3,4.6,216.77,0,9.96,0,0,4.6,0.77,0,0.77,0,0,3.83,0.77,7.66,2.3,0.77,0
120,0,0,0,0,5.88,0,0,41.16,1.96,11.76,19.6,0,1.96,0,0,0,0,182.26,5.88,3.92,303.77,0,17.64,1.96,0,5.88,1.96,0,0,0,0,7.84,1.96,3.92,1.96,1.96,0
