stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,heart,immune,iridophores,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,329.45,2490.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0
  5-6,380.04,2347.65,12.26,0,0,0,0,18.39,0,0,0,0,0,226.8,0,91.94,12.26,0,0,0,0,0,0,0
  7-9,0,28.92,86.75,0,0,0,0,13.14,0,0,0,0,0,94.63,7.89,415.34,0,10.51,0,5.26,0,0,0,0
 10-12,0,59.79,47.2,0,9.44,0,0,9.44,0,0,0,0,0,18.88,0,113.29,0,0,0,204.55,0,0,0,0
 14-21,0,0,0,2,424,0,0,0,1,0,0,2,1,4,0,0,0,0,1,0,1,1,0,5
 24-34,0,0,0,0,192.9,0,0,0,0.82,0.82,0,1.64,1.64,9.03,0,0,0.82,0,0,0,0,1.64,4.93,6.57
 36-46,0,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0.81
 48-58,0,0,0,0,8.03,0,0,0,0,0,0,0,0,4.02,0,0,0,0,0,0,0,0,0,1.72
 60-70,0,0,0,0,12.76,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,4.91
 72-82,0,0,0,0,43.19,0,0,0,0,0,0,0,0,4.91,0,0,0,0,0,0,0,0,0,2.94
 84-94,0,0,0,0,28.68,0,0,0,0,1.06,1.06,2.12,0,0,0,0,0,0,0,0,0,0,0,2.12
 96-106,0,0,0,0,33.88,0,0,0,1.09,1.09,0,4.37,0,1.09,0,0,0,0,0,0,0,0,0,4.37
108-118,0,0,0.77,0.77,46.72,0.77,0.77,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0,2.3
120,0,0,0,0,56.83,1.96,0,0,0,0,0,1.96,0,1.96,0,0,1.96,0,0,0,0,0,0,3.92
