stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,otic,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,1,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,1.64,2.46,0.82,0,0,2.46,1.64,0,2.46,0,0,0,0,0,0.82,0,0,0,0
 36-46,0.81,0,1.61,0,0,0,0,0,1.61,2.42,0,0,0,13.7,2.42,2.42,7.25,0,0,0,0,0,0,0,0,0,0
 48-58,0.57,0.57,2.3,0,0,0.57,0,0,1.72,6.31,0,0,0,8.03,5.16,3.44,1.72,0,0.57,0,0,0,1.15,0,0,0,0
 60-70,0,0,1.96,0,0,0,0,0,0.98,20.61,0,0.98,0,22.58,11.78,1.96,4.91,0.98,2.94,0,0,0,0.98,2.94,0,4.91,0
 72-82,0.98,4.91,4.91,0,0,7.85,3.93,0,1.96,41.23,0,0,0,58.9,20.61,9.82,8.83,2.94,7.85,1.96,0,0,1.96,11.78,2.94,22.58,0.98
 84-94,0,6.37,6.37,1.06,0,8.5,2.12,0,4.25,55.23,2.12,1.06,1.06,39.3,21.24,4.25,4.25,0,1.06,2.12,0,0,0,12.74,0,27.61,0
 96-106,0,5.46,3.28,0,1.09,3.28,5.46,0,2.19,66.66,2.19,0,0,53.55,16.39,8.74,5.46,0,14.21,0,0,0,1.09,8.74,1.09,24.04,0
108-118,0,2.3,1.53,0,0,6.89,0,1.53,3.83,55.92,5.36,0.77,1.53,55.92,11.49,6.89,10.72,0.77,16.85,0,0,0,0.77,2.3,3.06,13.02,0
120,3.92,3.92,0,0,1.96,1.96,1.96,0,1.96,86.23,1.96,0,0,41.16,15.68,5.88,15.68,0,9.8,0,0,0,0,1.96,3.92,17.64,0
