stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching.gland,liver,neural,notochord,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord
  3-4,0,698.43,0,0,0,0,0,0,0,0,26.36,0,0,0
  5-6,36.78,570.06,0,0,0,6.13,0,30.65,0,24.52,18.39,0,0,0
  7-9,2.63,36.8,47.32,0,42.06,28.92,0,1146.12,7.89,262.87,0,0,0,0
 10-12,0,75.53,75.53,3.15,88.12,3.15,6.29,1809.51,22.03,254.9,3.15,40.91,3.15,3.15
