stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,18.39,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,7.89,0,0,0,0,18.4,0,0,0,0,0,34.17,2.63,0,0,21.03,2.63,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,12.59,0,0,0,0,9.44,0,0,0,0,0,81.82,0,0,0,18.88,0,3.15,0,0,0,0,0
 14-21,0,0,0,2,1,5,0,0,0,0,0,0,0,2,5,0,41,0,0,0,0,1,1,1,6,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.64,0,1.64,1.64,0,3.28,0,0,0,0,0.82,5.75,0,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,0.81,0,0,0,0,0.81,0,0.81,0,5.64,0,0,0,0,0,5.64,0,2.42,0,0,0
 48-58,0,0,0,0,0.57,1.15,0,1.72,0,0,0,0.57,1.15,0,0,2.3,1.15,6.31,0,1.15,0,0.57,7.46,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,6.87,0,0,0,0,8.83,0.98,2.94,1.96,0,4.91,0.98,6.87,0,0,15.7,0,0,0,0,0
 72-82,0,0,0,0.98,0,0.98,0,3.93,0.98,0,0,1.96,14.72,0,6.87,3.93,11.78,1.96,0,7.85,0,0,32.39,0,0,0,0,0
 84-94,0,0,0,2.12,0,2.12,0,5.31,1.06,0,0,3.19,22.3,1.06,1.06,2.12,3.19,3.19,0,10.62,0,1.06,62.66,0,0,0,0,1.06
 96-106,0,0,0,0,1.09,2.19,0,2.19,1.09,1.09,0,1.09,37.16,0,7.65,2.19,3.28,0,0,13.11,0,0,59.01,0,0,1.09,0,0
108-118,0,0,0,2.3,0,0.77,0,0,0,0,0,3.83,25.28,0,5.36,0.77,9.19,1.53,0,7.66,0,0.77,68.94,0,0,0,0.77,0.77
120,0,0,0,1.96,0,3.92,3.92,3.92,0,0,0,0,29.4,1.96,7.84,5.88,27.44,0,1.96,17.64,0,1.96,68.59,0,1.96,1.96,0,1.96
