stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,3.15,0,0,31.47,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,6,1,1,0,0,0,0,0,0,0,0,0,0,8,0,9,32,3,0,0,11,0,0,3,2,59,0,0,0,0
 24-34,0,0,0,0.82,1.64,0,0,0,0.82,1.64,0.82,0,0.82,0,0,0,0,15.6,0,4.93,96.86,0.82,0,0.82,0,0,0,0,0.82,40.22,0,0,0,0
 36-46,0,0,0,0,1.61,0,4.03,0,0.81,1.61,0,0,0,0,0,0,3.22,24.98,0,0.81,246.53,0,0,0,0,0,0,0,0,61.23,0,0,0,0
 48-58,0.57,0,0,0,8.03,0,15.49,0,1.15,2.3,0.57,0,1.15,0,0,0,1.15,61.4,0,1.15,257.64,0,0,0,0,0,0,0,0,64.27,0,0,0,0
 60-70,0,0,0,0,4.91,0,42.21,0,3.93,2.94,1.96,0,0.98,0,0,0,0.98,118.76,9.82,6.87,453.46,0,0,0,0,0,0,0,0,64.78,4.91,0,1.96,0
 72-82,0,0,0,0,9.82,1.96,43.19,0.98,2.94,5.89,5.89,0.98,0.98,0,0.98,0,0,185.53,34.36,18.65,408.37,0,0.98,0.98,0,1.96,0.98,0,0,53.99,14.72,0,36.32,0
 84-94,0,0,0,0,18.05,0,41.42,0,9.56,5.31,13.81,2.12,1.06,1.06,0,0,1.06,128.51,36.11,9.56,227.28,0,0,0,0,0,0,0,0,33.99,13.81,0,36.11,0
 96-106,0,0,0,0,21.86,0,28.41,0,4.37,8.74,5.46,2.19,2.19,0,0,0,0,232.78,36.06,10.93,149.72,0,1.09,0,0,3.28,1.09,0,0,36.06,8.74,1.09,46.99,0
108-118,0,0,0,0,22.98,0,13.02,0.77,3.83,3.83,4.6,2.3,0,0,0,0.77,0,206.04,34.47,4.6,192.26,0.77,0,0.77,0,3.83,0.77,0,0,16.85,6.89,0,29.87,0
120,0,0,0,0,43.12,0,11.76,0,9.8,0,1.96,0,1.96,0,0,0,0,168.54,29.4,3.92,123.47,0,0,0,0,0,0,0,0,7.84,3.92,0,33.32,1.96
