stage,endoderm,epidermis,eye,fin.epithelia,glial,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,spinal.cord,vasculature
 14-21,5,3,1,0,0,0,0,0,0,2,0,2,5,1,0,0,0,1,4,0
 24-34,0,0.82,0,0.82,0,0,0,0,0,4.1,0,0.82,11.49,0,0,0,0,0,0,0
 36-46,0,0,1.61,0,0,0,0,0,0,5.64,0,2.42,12.89,0,0,0,0,0,0,0
 48-58,0,0,3.44,0,0,0.57,0,0.57,0,7.46,0.57,0.57,35,0,0,0.57,0,0,3.44,0
 60-70,0,0,2.94,0,0,0,0,0,0,3.93,0,0.98,13.74,0,0,0,0,0,3.93,0
 72-82,0,0,5.89,0,0.98,0,0,0,0,4.91,0,0.98,10.8,0,0.98,0.98,0,0,2.94,0
 84-94,0,1.06,10.62,0,0,0,0,0,0,5.31,0,0,9.56,0,0,1.06,0,0,0,0
 96-106,0,0,2.19,0,0,0,0,1.09,0,6.56,0,1.09,4.37,0,1.09,3.28,0,0,0,0
108-118,0,0,3.83,0,0.77,0,0.77,0,0.77,3.83,0.77,0.77,11.49,0,2.3,0,0.77,0,0,0.77
120,0,0,3.92,0,1.96,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0
